,PLAYER_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE
0,1629028,Deandre Ayton,2018,1,1,1,1610612756,Phoenix,Suns,PHX,Arizona,College/University
1,1628963,Marvin Bagley III,2018,1,2,2,1610612758,Sacramento,Kings,SAC,Duke,College/University
2,1629029,Luka Doncic,2018,1,3,3,1610612737,Atlanta,Hawks,ATL,Real Madrid Baloncesto (Spain),Other Team/Club
3,1628991,Jaren Jackson Jr.,2018,1,4,4,1610612763,Memphis,Grizzlies,MEM,Michigan State,College/University
4,1629027,Trae Young,2018,1,5,5,1610612742,Dallas,Mavericks,DAL,Oklahoma,College/University
5,1628964,Mo Bamba,2018,1,6,6,1610612753,Orlando,Magic,ORL,Texas,College/University
6,1628976,Wendell Carter Jr.,2018,1,7,7,1610612741,Chicago,Bulls,CHI,West Virginia,College/University
7,1629012,Collin Sexton,2018,1,8,8,1610612739,Cleveland,Cavaliers,CLE,Alabama,College/University
8,1628995,Kevin Knox,2018,1,9,9,1610612752,New York,Knicks,NYK,Kentucky,College/University
9,1628969,Mikal Bridges,2018,1,10,10,1610612755,Philadelphia,76ers,PHI,Villanova,College/University
10,1628983,Shai Gilgeous-Alexander,2018,1,11,11,1610612766,Charlotte,Hornets,CHA,Kentucky,College/University
11,1628970,Miles Bridges,2018,1,12,12,1610612746,LA,Clippers,LAC,Michigan State,College/University
12,1629010,Jerome Robinson,2018,1,13,13,1610612746,LA,Clippers,LAC,Boston College,College/University
13,1629008,Michael Porter Jr.,2018,1,14,14,1610612743,Denver,Nuggets,DEN,Missouri,College/University
14,1628972,Troy Brown Jr.,2018,1,15,15,1610612764,Washington,Wizards,WAS,Oregon,College/University
15,1629015,Zhaire Smith,2018,1,16,16,1610612756,Phoenix,Suns,PHX,Texas Tech,College/University
16,1628978,Donte DiVincenzo,2018,1,17,17,1610612749,Milwaukee,Bucks,MIL,Villanova,College/University
17,1629022,Lonnie Walker IV,2018,1,18,18,1610612759,San Antonio,Spurs,SAS,Miami (FL),College/University
18,1628989,Kevin Huerter,2018,1,19,19,1610612737,Atlanta,Hawks,ATL,Maryland,College/University
19,1629006,Josh Okogie,2018,1,20,20,1610612750,Minnesota,Timberwolves,MIN,Georgia Tech,College/University
20,1628960,Grayson Allen,2018,1,21,21,1610612762,Utah,Jazz,UTA,Duke,College/University
21,1628990,Chandler Hutchison,2018,1,22,22,1610612741,Chicago,Bulls,CHI,Boise State,College/University
22,1628988,Aaron Holiday,2018,1,23,23,1610612754,Indiana,Pacers,IND,California-Los Angeles,College/University
23,1629014,Anfernee Simons,2018,1,24,24,1610612757,Portland,Trail Blazers,POR,IMG Academy,High School
24,1629021,Moritz Wagner,2018,1,25,25,1610612747,Los Angeles,Lakers,LAL,Michigan,College/University
25,1629013,Landry Shamet,2018,1,26,26,1610612755,Philadelphia,76ers,PHI,Wichita State,College/University
26,1629057,Robert Williams III,2018,1,27,27,1610612738,Boston,Celtics,BOS,Texas A&M,College/University
27,1628980,Jacob Evans,2018,1,28,28,1610612744,Golden State,Warriors,GSW,Cincinnati,College/University
28,1629058,Dzanan Musa,2018,1,29,29,1610612751,Brooklyn,Nets,BKN,KK Cedevita (Croatia),Other Team/Club
29,1629016,Omari Spellman,2018,1,30,30,1610612737,Atlanta,Hawks,ATL,Villanova,College/University
30,1629059,Elie Okobo,2018,2,1,31,1610612756,Phoenix,Suns,PHX,Elan Bearnais Pau-Orthez (France),Other Team/Club
31,1628975,Jevon Carter,2018,2,2,32,1610612763,Memphis,Grizzlies,MEM,West Virginia,College/University
32,1628973,Jalen Brunson,2018,2,3,33,1610612742,Dallas,Mavericks,DAL,Villanova,College/University
33,1628984,Devonte' Graham,2018,2,4,34,1610612737,Atlanta,Hawks,ATL,Villanova,College/University
34,1628982,Melvin Frazier Jr.,2018,2,5,35,1610612753,Orlando,Magic,ORL,Tulane,College/University
35,1629011,Mitchell Robinson,2018,2,6,36,1610612752,New York,Knicks,NYK,,
36,1629107,Gary Trent Jr.,2018,2,7,37,1610612758,Sacramento,Kings,SAC,Duke,College/University
37,1629017,Khyri Thomas,2018,2,8,38,1610612755,Philadelphia,76ers,PHI,Creighton,College/University
38,1629067,Isaac Bonga,2018,2,9,39,1610612755,Philadelphia,76ers,PHI,Fraport Skyliners (Germany),Other Team/Club
39,1629066,Rodions Kurucs,2018,2,10,40,1610612751,Brooklyn,Nets,BKN,FC Barcelona Basquet (Spain),Other Team/Club
40,1629020,Jarred Vanderbilt,2018,2,11,41,1610612753,Orlando,Magic,ORL,Kentucky,College/University
41,1628971,Bruce Brown,2018,2,12,42,1610612765,Detroit,Pistons,DET,Miami (FL),College/University
42,1628992,Justin Jackson,2018,2,13,43,1610612743,Denver,Nuggets,DEN,Maryland,College/University
43,1629068,Issuf Sanon,2018,2,14,44,1610612764,Washington,Wizards,WAS,KK Olimpija (Slovenia),Other Team/Club
44,1628977,Hamidou Diallo,2018,2,15,45,1610612751,Brooklyn,Nets,BKN,Kentucky,College/University
45,1629001,De'Anthony Melton,2018,2,16,46,1610612745,Houston,Rockets,HOU,Southern California,College/University
46,1629004,Svi Mykhailiuk,2018,2,17,47,1610612747,Los Angeles,Lakers,LAL,Kansas,College/University
47,1628966,Keita Bates-Diop,2018,2,18,48,1610612750,Minnesota,Timberwolves,MIN,Ohio State,College/University
48,1629002,Chimezie Metu,2018,2,19,49,1610612749,Milwaukee,Bucks,MIL,Southern California,College/University
49,1628993,Alize Johnson,2018,2,20,50,1610612754,Indiana,Pacers,IND,Missouri State,College/University
50,1628974,Tony Carr,2018,2,21,51,1610612740,New Orleans,Pelicans,NOP,Penn State,College/University
51,1629053,Vincent Edwards,2018,2,22,52,1610612762,Utah,Jazz,UTA,Purdue,College/University
52,1628985,Devon Hall,2018,2,23,53,1610612760,Oklahoma City,Thunder,OKC,Virginia,College/University
53,1629003,Shake Milton,2018,2,24,54,1610612742,Dallas,Mavericks,DAL,Southern Methodist,College/University
54,1629083,Arnoldas Kulboka,2018,2,25,55,1610612766,Charlotte,Hornets,CHA,Brose Bamberg (Germany),Other Team/Club
55,1629034,Ray Spalding,2018,2,26,56,1610612755,Philadelphia,76ers,PHI,Louisville,College/University
56,1628987,Kevin Hervey,2018,2,27,57,1610612760,Oklahoma City,Thunder,OKC,Texas-Arlington,College/University
57,1629118,Thomas Welsh,2018,2,28,58,1610612743,Denver,Nuggets,DEN,California-Los Angeles,College/University
58,1628994,George King,2018,2,29,59,1610612756,Phoenix,Suns,PHX,Colorado,College/University
59,1628961,Kostas Antetokounmpo,2018,2,30,60,1610612755,Philadelphia,76ers,PHI,Dayton,College/University
60,1628365,Markelle Fultz,2017,1,1,1,1610612755,Philadelphia,76ers,PHI,Washington,College/University
61,1628366,Lonzo Ball,2017,1,2,2,1610612747,Los Angeles,Lakers,LAL,California-Los Angeles,College/University
62,1628369,Jayson Tatum,2017,1,3,3,1610612738,Boston,Celtics,BOS,Duke,College/University
63,1628367,Josh Jackson,2017,1,4,4,1610612756,Phoenix,Suns,PHX,Kansas,College/University
64,1628368,De'Aaron Fox,2017,1,5,5,1610612758,Sacramento,Kings,SAC,Kentucky,College/University
65,1628371,Jonathan Isaac,2017,1,6,6,1610612753,Orlando,Magic,ORL,Florida State,College/University
66,1628374,Lauri Markkanen,2017,1,7,7,1610612750,Minnesota,Timberwolves,MIN,Arizona,College/University
67,1628373,Frank Ntilikina,2017,1,8,8,1610612752,New York,Knicks,NYK,SIG Strasbourg (France),Other Team/Club
68,1628372,Dennis Smith Jr.,2017,1,9,9,1610612742,Dallas,Mavericks,DAL,North Carolina State,College/University
69,1628380,Zach Collins,2017,1,10,10,1610612758,Sacramento,Kings,SAC,Gonzaga,College/University
70,1628370,Malik Monk,2017,1,11,11,1610612766,Charlotte,Hornets,CHA,Kentucky,College/University
71,1628379,Luke Kennard,2017,1,12,12,1610612765,Detroit,Pistons,DET,Duke,College/University
72,1628378,Donovan Mitchell,2017,1,13,13,1610612743,Denver,Nuggets,DEN,Louisville,College/University
73,1628389,Bam Adebayo,2017,1,14,14,1610612748,Miami,Heat,MIA,Kentucky,College/University
74,1628382,Justin Jackson,2017,1,15,15,1610612757,Portland,Trail Blazers,POR,North Carolina,College/University
75,1628383,Justin Patton,2017,1,16,16,1610612741,Chicago,Bulls,CHI,Creighton,College/University
76,1628391,D.J. Wilson,2017,1,17,17,1610612749,Milwaukee,Bucks,MIL,Michigan,College/University
77,1628388,TJ Leaf,2017,1,18,18,1610612754,Indiana,Pacers,IND,California-Los Angeles,College/University
78,1628381,John Collins,2017,1,19,19,1610612737,Atlanta,Hawks,ATL,Wake Forest,College/University
79,1628385,Harry Giles III,2017,1,20,20,1610612757,Portland,Trail Blazers,POR,Duke,College/University
80,1628390,Terrance Ferguson,2017,1,21,21,1610612760,Oklahoma City,Thunder,OKC,Adelaide 36ers (Australia),Other Team/Club
81,1628386,Jarrett Allen,2017,1,22,22,1610612751,Brooklyn,Nets,BKN,Texas,College/University
82,1628384,OG Anunoby,2017,1,23,23,1610612761,Toronto,Raptors,TOR,Indiana,College/University
83,1628399,Tyler Lydon,2017,1,24,24,1610612762,Utah,Jazz,UTA,Syracuse,College/University
84,1628394,Anzejs Pasecniks,2017,1,25,25,1610612753,Orlando,Magic,ORL,CB Gran Canaria (Spain),Other Team/Club
85,1628403,Caleb Swanigan,2017,1,26,26,1610612757,Portland,Trail Blazers,POR,Purdue,College/University
86,1628398,Kyle Kuzma,2017,1,27,27,1610612751,Brooklyn,Nets,BKN,Utah,College/University
87,1628396,Tony Bradley,2017,1,28,28,1610612747,Los Angeles,Lakers,LAL,North Carolina,College/University
88,1628401,Derrick White,2017,1,29,29,1610612759,San Antonio,Spurs,SAS,Colorado,College/University
