RECORD_ID,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR,GAME_ID,PLAYER_ID
1,Frankie Brian,Starter,SG,00:00,5-14,0-0,4-5,8.1,0,6,6,3,2,0,0,0,14,1951,1,1
2,Paul Arizin,Starter,PG,00:00,7-12,0-0,1-2,9.5,0,7,7,0,2,0,0,0,15,1951,1,76056
3,Bob Davies,Starter,PG,00:00,4-6,0-0,5-5,13.9,0,5,5,5,3,0,0,0,13,1951,1,76514
4,Vince Boryla,Starter,SF,00:00,4-6,0-0,1-1,6.1,0,2,2,2,3,0,0,0,9,1951,1,76210
5,Alex Groza,Starter,PF,00:00,8-16,0-0,1-1,13.4,0,13,13,1,4,0,0,0,17,1951,1,76897
6,Joe Fulks,Starter,SG,00:00,6-15,0-0,7-9,10.1,0,7,7,3,5,0,0,0,19,1951,1,76764
7,George Mikan,Starter,C,00:00,4-17,0-0,4-6,7.2,0,11,11,3,2,0,0,0,12,1951,1,600012
8,Ed Macauley,Starter,C,00:00,7-12,0-0,6-7,12.4,0,6,6,1,3,0,0,0,20,1951,1,77429
9,Vern Mikkelsen,Starter,SF,00:00,4-11,0-0,3-4,7.5,0,9,9,1,3,0,0,0,11,1951,1,77593
10,Dolph Schayes,Starter,PF,00:00,7-10,0-0,1-2,19.8,0,14,14,3,1,0,0,0,15,1951,1,78076
11,Ralph Beard,Bench,PG,00:00,3-8,0-0,0-3,2.6,0,3,3,2,1,0,0,0,6,1951,1,76131
12,Bob Cousy,Bench,PG,00:00,2-12,0-0,4-5,10.4,0,9,9,8,3,0,0,0,8,1951,1,600003
13,Dike Eddleman,Bench,SF,00:00,2-9,0-0,3-5,-0.1,0,0,0,3,3,0,0,0,7,1951,1,4
14,Harry Gallatin,Bench,PF,00:00,2-4,0-0,1-1,5.4,0,5,5,2,4,0,0,0,5,1951,1,76773
15,Larry Foust,Bench,C,00:00,1-6,0-0,0-0,1.8,0,5,5,2,3,0,0,0,2,1951,1,76744
16,Dick McGuire,Bench,PG,00:00,3-4,0-0,0-0,15.8,0,5,5,10,2,0,0,0,6,1951,1,77537
17,Jim Pollard,Bench,SF,00:00,2-11,0-0,0-0,3.2,0,4,4,5,1,0,0,0,4,1951,1,77867
18,Andy Phillip,Bench,SF,00:00,3-8,0-0,0-0,15.0,0,10,10,8,1,0,0,0,6,1951,1,77853
19,Fred Schaus,Bench,SF,00:00,2-9,0-0,4-4,3.2,0,4,4,2,3,0,0,0,8,1951,1,78075
20,Red Rocha,Bench,C,00:00,2-10,0-0,4-4,2.5,0,2,2,3,2,0,0,0,8,1951,1,77999
21,George Mikan,Starter,C,29:00,9-19,0-0,8-9,18.1,0,15,15,1,5,0,0,0,26,1952,2,600012
22,Paul Arizin,Starter,SF,32:00,9-13,0-0,8-8,17.2,0,6,6,0,1,0,0,0,26,1952,2,76056
23,Vern Mikkelsen,Starter,PF,23:00,5-8,0-0,2-2,11.8,0,10,10,0,2,0,0,0,12,1952,2,77593
24,Bob Cousy,Starter,PG,33:00,4-14,0-0,1-2,12.2,0,4,4,13,3,0,0,0,9,1952,2,600003
25,Jim Pollard,Starter,SF,29:00,2-17,0-0,0-0,3.0,0,11,11,5,3,0,0,0,4,1952,2,77867
26,Harry Gallatin,Starter,PF,22:00,3-5,0-0,1-4,10.0,0,9,9,3,3,0,0,0,7,1952,2,76773
27,Paul Walther,Starter,SG,17:00,1-4,0-0,0-0,2.0,0,2,2,2,1,0,0,0,2,1952,2,78447
28,Ed Macauley,Starter,C,28:00,3-7,0-0,9-9,13.6,0,7,7,3,2,0,0,0,15,1952,2,77429
29,Bobby Wanzer,Starter,PG,22:00,1-8,0-0,2-2,5.0,0,5,5,5,2,0,0,0,4,1952,2,78453
30,Andy Phillip,Starter,SG,30:00,4-6,0-0,3-3,13.1,0,3,3,6,1,0,0,0,11,1952,2,77853
31,Leo Barnhorst,Bench,SF,23:00,7-16,0-0,0-1,3.1,0,2,2,2,4,0,0,0,14,1952,2,76110
32,Joe Fulks,Bench,SF,09:00,3-7,0-0,0-1,5.1,0,5,5,2,2,0,0,0,6,1952,2,76764
33,Frankie Brian,Bench,PG,25:00,4-10,0-0,5-6,11.5,0,7,7,4,2,0,0,0,13,1952,2,1
34,Dick McGuire,Bench,PG,18:00,0-0,0-0,1-3,4.6,0,1,1,4,0,0,0,0,1,1952,2,77537
35,Bob Davies,Bench,PG,27:00,4-11,0-0,0-0,2.8,0,0,0,5,4,0,0,0,8,1952,2,76514
36,Red Rocha,Bench,C,28:00,5-11,0-0,2-2,6.8,0,5,5,2,4,0,0,0,12,1952,2,77999
37,Dike Eddleman,Bench,SF,26:00,1-3,0-0,0-0,2.2,0,2,2,2,2,0,0,0,2,1952,2,4
38,Fred Scolari,Bench,PG,15:00,5-9,0-0,0-0,5.2,0,0,0,2,0,0,0,0,10,1952,2,5
39,Arnie Risen,Bench,C,19:00,3-7,0-0,0-1,3.6,0,5,5,1,3,0,0,0,6,1952,2,77967
40,Max Zaslofsky,Bench,SG,25:00,3-7,0-0,5-5,8.9,0,4,4,2,0,0,0,0,11,1952,2,78638
41,Mel Hutchins,Starter,SF,30:00,1-8,0-0,0-1,4.1,0,6,6,5,2,0,0,0,2,1953,3,77089
42,Bob Cousy,Starter,PG,36:00,4-11,0-0,7-7,10.4,0,5,5,3,1,0,0,0,15,1953,3,600003
43,George Mikan,Starter,C,40:00,9-26,0-0,4-4,14.0,0,16,16,2,2,0,0,0,22,1953,3,600012
44,Harry Gallatin,Starter,SF,19:00,1-4,0-0,1-2,3.0,0,3,3,2,1,0,0,0,3,1953,3,76773
