DRAFT_ID,PLAYER_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE
1,78023,Irv Rothenberg,1947,0,0,0,1610610036,Washington,Capitols,WAS,Long Island-Brooklyn,College/University
2,78185,Donald Smith,1947,0,0,0,1610610025,Chicago,Stags,CHS,Minnesota,College/University
3,77999,Red Rocha,1947,0,0,0,1610610035,Toronto,Huskies,HUS,Oregon State,College/University
4,79284,Jack Stone,1947,0,0,0,1610610025,Chicago,Stags,CHS,Kansas State,College/University
5,78402,Gene Vance,1947,0,0,0,1610610025,Chicago,Stags,CHS,Illinois,College/University
6,77613,Wat Misaka,1947,0,0,0,1610612752,New York,Knicks,NYK,Utah,College/University
7,77938,Joseph Reiser,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,New York University,College/University
8,76507,Jimmy Darden,1947,0,0,0,1610610025,Chicago,Stags,CHS,Denver,College/University
9,79285,Ray Evans,1947,0,0,0,1610612752,New York,Knicks,NYK,Kansas,College/University
10,79286,Ed Golub,1947,0,0,0,1610612752,New York,Knicks,NYK,Unknown,Unknown
11,79287,Garland Head,1947,0,0,0,1610612752,New York,Knicks,NYK,Texas Tech,College/University
12,79288,Ron Livingston,1947,0,0,0,1610612752,New York,Knicks,NYK,St. Mary's (CA),College/University
13,76773,Harry Gallatin,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,Truman State,College/University
14,78650,Matt Zunic,1947,0,0,0,1610610036,Washington,Capitols,WAS,George Washington,College/University
15,77684,Fred Nagy,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Akron,College/University
16,79315,Bill Burke,1947,0,0,0,1610610036,Washington,Capitols,WAS,St. Mary's (MD),College/University
17,77686,Paul Napolitano,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,San Francisco,College/University
18,79316,Abel Rodriguez,1947,0,0,0,1610610036,Washington,Capitols,WAS,San Francisco,College/University
19,78344,Jack Tingle,1947,0,0,0,1610610036,Washington,Capitols,WAS,Kentucky,College/University
20,76407,Paul Cloyd,1947,0,0,0,1610610036,Washington,Capitols,WAS,Wisconsin,College/University
21,79278,Bob Alemeida,1947,0,0,0,1610612738,Boston,Celtics,BOS,Unknown,Unknown
22,79279,George Felt,1947,0,0,0,1610612738,Boston,Celtics,BOS,Northwestern,College/University
23,79280,John Kelly,1947,0,0,0,1610612738,Boston,Celtics,BOS,Notre Dame,College/University
24,77452,John Mandic,1947,0,0,0,1610610036,Washington,Capitols,WAS,Oregon State,College/University
25,77462,Saul Mariaschin,1947,0,0,0,1610610036,Washington,Capitols,WAS,Harvard,College/University
26,79281,George Petrovick,1947,0,0,0,1610612738,Boston,Celtics,BOS,Unknown,Unknown
27,77014,Jack Hewson,1947,0,0,0,1610612738,Boston,Celtics,BOS,Temple,College/University
28,78275,Gene Stump,1947,0,0,0,1610612738,Boston,Celtics,BOS,DePaul,College/University
29,76689,Johnny Ezersky,1947,0,0,0,1610612738,Boston,Celtics,BOS,Rhode Island,College/University
30,79282,Ralph Bishop,1947,0,0,0,1610610025,Chicago,Stags,CHS,Washington,College/University
31,79283,Hank Decker,1947,0,0,0,1610610025,Chicago,Stags,CHS,West Texas A&M,College/University
32,79303,Dick Furey,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,St. Thomas (MN),College/University
33,76161,Hank Biasatti,1947,0,0,0,1610612738,Boston,Celtics,BOS,Long Island-Brooklyn,College/University
34,79301,Joe Barry,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,Unknown,Unknown
35,79300,Jack Walton,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,DePaul,College/University
36,79298,Herman Knoche,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Washington & Jefferson,College/University
37,79297,Dick Ives,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Iowa,College/University
38,79296,George Brown,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Unknown,Unknown
39,79295,Bob Alamo,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Santa Clara,College/University
40,79294,Ed Koffenberger,1947,0,0,0,1610612744,Philadelphia,Warriors,PHW,Duke,College/University
41,79290,Carl Reichert,1947,0,0,0,1610612752,New York,Knicks,NYK,Findlay,College/University
42,79291,Tom Tomlinson,1947,0,0,0,1610612752,New York,Knicks,NYK,Southern Methodist,College/University
43,76615,Andy Duncan,1947,0,0,0,1610612752,New York,Knicks,NYK,William & Mary,College/University
44,77853,Andy Phillip,1947,0,0,0,1610610025,Chicago,Stags,CHS,Illinois,College/University
45,77867,Jim Pollard,1947,0,0,0,1610610025,Chicago,Stags,CHS,Stanford,College/University
46,78070,Ben Schadler,1947,0,0,0,1610610025,Chicago,Stags,CHS,Northwestern,College/University
47,79293,Jim Kaeding,1947,0,0,0,1610612744,Philadelphia,Warriors,PHW,York (PA),College/University
48,79292,Norman Butz,1947,0,0,0,1610612744,Philadelphia,Warriors,PHW,Saint Joseph's,College/University
49,77867,Jim Pollard,1947,0,0,0,1610612744,Philadelphia,Warriors,PHW,Stanford,College/University
50,77867,Jim Pollard,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,Stanford,College/University
51,76769,Elmer R. Gainer,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,DePaul,College/University
52,79323,John Rusinko,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,Penn State,College/University
53,79322,Charles Raynor,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,Houston,College/University
54,79320,Bob Jake,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,Vermont,College/University
55,79319,Hugh Hampton,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,High Point,College/University
56,79318,Scotty Hamilton,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,West Virginia,College/University
57,79317,Robert Bolyard,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,Toledo,College/University
58,77036,"Bear, The Body Hoffman",1947,0,0,0,1610610035,Toronto,Huskies,HUS,Purdue,College/University
59,79289,Dan Miller,1947,0,0,0,1610612752,New York,Knicks,NYK,Saint Louis,College/University
60,79314,Wimpy Quinn,1947,0,0,0,1610610035,Toronto,Huskies,HUS,Oregon,College/University
61,79313,Frank Broyles,1947,0,0,0,1610610035,Toronto,Huskies,HUS,Georgia Tech,College/University
62,79312,Herb Wilkinson,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,Iowa,College/University
63,79310,Bill Strannigan,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,Wyoming,College/University
64,79309,Bob Kurland,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,Oklahoma State,College/University
65,79308,Jack Knopf,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,Louisville,College/University
66,77072,Bob Hubbard,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,Springfield,College/University
67,79307,Al Nichols,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,Rhode Island,College/University
68,79306,John Mills,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,Hofstra,College/University
69,79305,Roy Lipscomb,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,St. Mary's (MD),College/University
70,79304,Bob Joyce,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,Bates,College/University
71,79299,Clifton McNeeley,1947,1,1,1,1610610031,Pittsburgh,Ironmen,PIT,Texas-El Paso,College/University
72,78109,Glen Selbo,1947,1,2,2,1610610035,Toronto,Huskies,HUS,Wisconsin,College/University
73,76649,Eddie Ehlers,1947,1,3,3,1610612738,Boston,Celtics,BOS,Purdue,College/University
74,79302,Walt Dropo,1947,1,4,4,1610610032,Providence,Steamrollers,PRO,Connecticut,College/University
75,77048,Dick Holub,1947,1,5,5,1610612752,New York,Knicks,NYK,Long Island-Brooklyn,College/University
76,76479,Francis Crossin,1947,1,6,6,1610612744,Philadelphia,Warriors,PHW,Pennsylvania,College/University
77,79311,Jack Underman,1947,1,7,7,1610610034,St. Louis,Bombers,BOM,Ohio State,College/University
78,77088,Paul Huston,1947,1,8,8,1610610025,Chicago,Stags,CHS,Ohio State,College/University
79,77752,Dick O'Keefe,1947,1,9,9,1610610036,Washington,Capitols,WAS,Santa Clara,College/University
80,79321,Larry Killick,1947,1,10,10,1610610024,Baltimore,Bullets,BAL,Vermont,College/University
81,77889,Roy Pugh,1948,0,0,0,1610612744,Philadelphia,Warriors,PHW,Southern Methodist,College/University
82,79358,C.T. Parker,1948,0,0,0,1610610036,Washington,Capitols,WAS,Louisiana Tech,College/University
83,79359,Don Walker,1948,0,0,0,1610610036,Washington,Capitols,WAS,Sam Houston State,College/University
84,79360,Al Williams,1948,0,0,0,1610610036,Washington,Capitols,WAS,Arkansas,College/University
85,79357,Thorton Jenkins,1948,0,0,0,1610610036,Washington,Capitols,WAS,Missouri,College/University
86,78012,Kenny Rollins,1948,0,0,0,1610612765,Ft. Wayne Zollner,Pistons,FTW,Kentucky,College/University
87,79356,Ed Hughes,1948,0,0,0,1610610036,Washington,Capitols,WAS,San Jose State,College/University
88,77616,Murray Mitchell,1948,0,0,0,1610612738,Boston,Celtics,BOS,Sam Houston State,College/University
89,79355,Fred Bartell,1948,0,0,0,1610610036,Washington,Capitols,WAS,Oregon,College/University
90,76414,Jack Coleman,1948,0,0,0,1610610032,Providence,Steamrollers,PRO,Louisville,College/University
91,78521,Murray Wier,1948,0,0,0,1610612765,Ft. Wayne Zollner,Pistons,FTW,Iowa,College/University
