FIRST_NAME,FULL_NAME,LAST_NAME,PLAYER_ID
Alaa,Alaa Abdelnaby,Abdelnaby,76001
Zaid,Zaid Abdul-Aziz,Abdul-Aziz,76002
Kareem,Kareem Abdul-Jabbar,Abdul-Jabbar,76003
Mahmoud,Mahmoud Abdul-Rauf,Abdul-Rauf,51
Tariq,Tariq Abdul-Wahad,Abdul-Wahad,1505
Shareef,Shareef Abdur-Rahim,Abdur-Rahim,949
Tom,Tom Abernethy,Abernethy,76005
Forest,Forest Able,Able,76006
John,John Abramovic,Abramovic,76007
Alex,Alex Abrines,Abrines,203518
Alex,Alex Acker,Acker,101165
Donald,Donald Ackerman,Ackerman,76008
Mark,Mark Acres,Acres,76009
Charles,Charles Acton,Acton,76010
Quincy,Quincy Acy,Acy,203112
Alvan,Alvan Adams,Adams,76011
Don,Don Adams,Adams,76012
Hassan,Hassan Adams,Adams,200801
Jaylen,Jaylen Adams,Adams,1629121
Jordan,Jordan Adams,Adams,203919
Michael,Michael Adams,Adams,149
Steven,Steven Adams,Adams,203500
Rafael,Rafael Addison,Addison,912
Bam,Bam Adebayo,Adebayo,1628389
Rick,Rick Adelman,Adelman,76015
Jeff,Jeff Adrien,Adrien,202399
Arron,Arron Afflalo,Afflalo,201167
Maurice,Maurice Ager,Ager,200772
Mark,Mark Aguirre,Aguirre,76016
Blake,Blake Ahearn,Ahearn,201336
Danny,Danny Ainge,Ainge,76017
Alexis,Alexis Ajinca,Ajinca,201582
Henry,Henry Akin,Akin,76018
Josh,Josh Akognon,Akognon,203006
DeVaughn,DeVaughn Akoon-Purcell,Akoon-Purcell,1629152
Solomon,Solomon Alabi,Alabi,202374
Mark,Mark Alarie,Alarie,76019
Gary,Gary Alcorn,Alcorn,76020
Furkan,Furkan Aldemir,Aldemir,203128
Cole,Cole Aldrich,Aldrich,202332
LaMarcus,LaMarcus Aldridge,Aldridge,200746
Chuck,Chuck Aleksinas,Aleksinas,76021
Cliff,Cliff Alexander,Alexander,1626146
Cory,Cory Alexander,Alexander,724
Courtney,Courtney Alexander,Alexander,2042
Gary,Gary Alexander,Alexander,76022
Joe,Joe Alexander,Alexander,201570
Victor,Victor Alexander,Alexander,2349
Steve,Steve Alford,Alford,76024
Bob,Bob Allen,Allen,76028
Grayson,Grayson Allen,Allen,1628960
Jarrett,Jarrett Allen,Allen,1628386
Jerome,Jerome Allen,Allen,706
Kadeem,Kadeem Allen,Allen,1628443
Lavoy,Lavoy Allen,Allen,202730
Lucius,Lucius Allen,Allen,76027
Malik,Malik Allen,Allen,2124
Randy,Randy Allen,Allen,76025
Ray,Ray Allen,Allen,951
Tony,Tony Allen,Allen,2754
Odis,Odis Allison,Allison,76029
Lance,Lance Allred,Allred,200984
Darrell,Darrell Allums,Allums,76030
Morris,Morris Almond,Almond,201165
Derrick,Derrick Alston,Alston,308
Rafer,Rafer Alston,Alston,1747
Peter,Peter Aluma,Aluma,1824
John,John Amaechi,Amaechi,680
Ashraf,Ashraf Amaya,Amaya,732
Al-Farouq,Al-Farouq Aminu,Aminu,202329
Lou,Lou Amundson,Amundson,200811
Bob,Bob Anderegg,Anderegg,76034
Chris,Chris Andersen,Andersen,2365
David,David Andersen,Andersen,2431
Alan,Alan Anderson,Anderson,101187
Antonio,Antonio Anderson,Anderson,202079
Cliff,Cliff Anderson,Anderson,76035
Daniel,Daniel Anderson,Anderson,76036
Derek,Derek Anderson,Anderson,1507
Dwight,Dwight Anderson,Anderson,76037
Eric,Eric Anderson,Anderson,944
Greg,Greg Anderson,Anderson,246
James,James Anderson,Anderson,202341
Jerome,Jerome Anderson,Anderson,76040
Justin,Justin Anderson,Anderson,1626147
Kenny,Kenny Anderson,Anderson,72
Kim,Kim Anderson,Anderson,76041
Kyle,Kyle Anderson,Anderson,203937
Michael,Michael Anderson,Anderson,76042
Mitchell,Mitchell Anderson,Anderson,76043
Nick,Nick Anderson,Anderson,98
Richard,Richard Anderson,Anderson,76045
Ron,Ron Anderson,Anderson,76046
Ryan,Ryan Anderson,Anderson,201583
Shandon,Shandon Anderson,Anderson,1000
Willie,Willie Anderson,Anderson,335
Wally,Wally Anderzunas,Anderzunas,76048
Martynas,Martynas Andriuskevicius,Andriuskevicius,101149
Don,Don Anielak,Anielak,76049
Ike,Ike Anigbogu,Anigbogu,1628387
Michael,Michael Ansley,Ansley,76050
Chris,Chris Anstey,Anstey,1512
Giannis,Giannis Antetokounmpo,Antetokounmpo,203507
Kostas,Kostas Antetokounmpo,Antetokounmpo,1628961
Thanasis,Thanasis Antetokounmpo,Antetokounmpo,203648
Carmelo,Carmelo Anthony,Anthony,2546
Greg,Greg Anthony,Anthony,21
Joel,Joel Anthony,Anthony,201202
Pero,Pero Antic,Antic,203544
OG,OG Anunoby,Anunoby,1628384
Keith,Keith Appling,Appling,203951
Rafael,Rafael Araujo,Araujo,2737
Stacey,Stacey Arceneaux,Arceneaux,76053
Nate,Nate Archibald,Archibald,76054
Robert,Robert Archibald,Archibald,2425
Ryan,Ryan Arcidiacono,Arcidiacono,1627853
Jim,Jim Ard,Ard,76055
Gilbert,Gilbert Arenas,Arenas,2240
Trevor,Trevor Ariza,Ariza,2772
Paul,Paul Arizin,Arizin,76056
Joe,Joe Arlauckas,Arlauckas,76057
B.J.,B.J. Armstrong,Armstrong,769
Bob,Bob Armstrong,Armstrong,76061
Brandon,Brandon Armstrong,Armstrong,2220
Darrell,Darrell Armstrong,Armstrong,353
Hilton,Hilton Armstrong,Armstrong,200756
Paul,Paul Armstrong,Armstrong,76060
Tate,Tate Armstrong,Armstrong,76059
Jesse,Jesse Arnelle,Arnelle,76062
Jay,Jay Arnette,Arnette,76063
Bob,Bob Arnzen,Arnzen,76064
Carlos,Carlos Arroyo,Arroyo,2306
Darrell,Darrell Arthur,Arthur,201589
John,John Arthurs,Arthurs,76065
Jamel,Jamel Artis,Artis,1628503
Omer,Omer Asik,Asik,201600
Vincent,Vincent Askew,Askew,355
Keith,Keith Askins,Askins,173
Don,Don Asmonga,Asmonga,76068
