,FULL_NAME,YEAR_START,YEAR_END,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE,PLAYER_ID
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke University,76001.0
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State University,76002.0
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,"April 16, 1947","University of California, Los Angeles",76003.0
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",Louisiana State University,51.0
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974",San Jose State University,1505.0
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",University of California,949.0
6,Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana University,76005.0
7,Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky University,76006.0
9,Alex Acker,2006,2009,G,6-5,185.0,"January 21, 1983",Pepperdine University,101165.0
11,Mark Acres,1988,1993,F-C,6-11,220.0,"November 15, 1962",Oral Roberts University,76009.0
13,Quincy Acy,2013,2018,F,6-7,240.0,"October 6, 1990",Baylor University,203112.0
14,Alvan Adams,1976,1988,C-F,6-9,210.0,"July 19, 1954",University of Oklahoma,76011.0
15,Don Adams,1971,1977,F,6-6,210.0,"November 27, 1947",Northwestern University,76012.0
16,George Adams,1973,1975,F-G,6-5,210.0,"May 15, 1949",Gardner-Webb University,81525.0
17,Hassan Adams,2007,2009,G,6-4,220.0,"June 20, 1984",University of Arizona,200801.0
18,Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994","University of California, Los Angeles",203919.0
19,Michael Adams,1986,1996,G,5-10,162.0,"January 19, 1963",Boston College,149.0
20,Steven Adams,2014,2018,C,7-0,255.0,"July 20, 1993",University of Pittsburgh,203500.0
21,Rafael Addison,1987,1997,F-G,6-7,215.0,"July 22, 1964",Syracuse University,912.0
22,Bam Adebayo,2018,2018,C-F,6-10,243.0,"July 18, 1997",University of Kentucky,1628389.0
23,Rick Adelman,1969,1975,G,6-1,175.0,"June 16, 1946",Loyola Marymount University,76015.0
25,Arron Afflalo,2008,2018,G,6-5,210.0,"October 15, 1985","University of California, Los Angeles",201167.0
26,Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State University,200772.0
27,Mark Aguirre,1982,1994,F-G,6-6,232.0,"December 10, 1959",DePaul University,76016.0
29,Danny Ainge,1982,1995,G,6-4,175.0,"March 17, 1959",Brigham Young University,76017.0
