,first_name,full_name,id,last_name
0,Alaa,Alaa Abdelnaby,76001,Abdelnaby
1,Zaid,Zaid Abdul-Aziz,76002,Abdul-Aziz
2,Kareem,Kareem Abdul-Jabbar,76003,Abdul-Jabbar
3,Mahmoud,Mahmoud Abdul-Rauf,51,Abdul-Rauf
4,Tariq,Tariq Abdul-Wahad,1505,Abdul-Wahad
5,Shareef,Shareef Abdur-Rahim,949,Abdur-Rahim
6,Tom,Tom Abernethy,76005,Abernethy
7,Forest,Forest Able,76006,Able
8,John,John Abramovic,76007,Abramovic
9,Alex,Alex Abrines,203518,Abrines
10,Alex,Alex Acker,101165,Acker
11,Donald,Donald Ackerman,76008,Ackerman
12,Mark,Mark Acres,76009,Acres
13,Charles,Charles Acton,76010,Acton
14,Quincy,Quincy Acy,203112,Acy
15,Alvan,Alvan Adams,76011,Adams
16,Don,Don Adams,76012,Adams
17,Hassan,Hassan Adams,200801,Adams
18,Jaylen,Jaylen Adams,1629121,Adams
19,Jordan,Jordan Adams,203919,Adams
20,Michael,Michael Adams,149,Adams
21,Steven,Steven Adams,203500,Adams
22,Rafael,Rafael Addison,912,Addison
23,Bam,Bam Adebayo,1628389,Adebayo
24,Rick,Rick Adelman,76015,Adelman
25,Jeff,Jeff Adrien,202399,Adrien
26,Arron,Arron Afflalo,201167,Afflalo
27,Maurice,Maurice Ager,200772,Ager
28,Mark,Mark Aguirre,76016,Aguirre
29,Blake,Blake Ahearn,201336,Ahearn
30,Danny,Danny Ainge,76017,Ainge
31,Alexis,Alexis Ajinca,201582,Ajinca
32,Henry,Henry Akin,76018,Akin
33,Josh,Josh Akognon,203006,Akognon
34,DeVaughn,DeVaughn Akoon-Purcell,1629152,Akoon-Purcell
35,Solomon,Solomon Alabi,202374,Alabi
36,Mark,Mark Alarie,76019,Alarie
37,Gary,Gary Alcorn,76020,Alcorn
38,Furkan,Furkan Aldemir,203128,Aldemir
39,Cole,Cole Aldrich,202332,Aldrich
40,LaMarcus,LaMarcus Aldridge,200746,Aldridge
41,Chuck,Chuck Aleksinas,76021,Aleksinas
42,Cliff,Cliff Alexander,1626146,Alexander
43,Cory,Cory Alexander,724,Alexander
44,Courtney,Courtney Alexander,2042,Alexander
45,Gary,Gary Alexander,76022,Alexander
46,Joe,Joe Alexander,201570,Alexander
47,Victor,Victor Alexander,2349,Alexander
48,Steve,Steve Alford,76024,Alford
49,Bob,Bob Allen,76028,Allen
50,Grayson,Grayson Allen,1628960,Allen
51,Jarrett,Jarrett Allen,1628386,Allen
52,Jerome,Jerome Allen,706,Allen
53,Kadeem,Kadeem Allen,1628443,Allen
54,Lavoy,Lavoy Allen,202730,Allen
55,Lucius,Lucius Allen,76027,Allen
56,Malik,Malik Allen,2124,Allen
57,Randy,Randy Allen,76025,Allen
58,Ray,Ray Allen,951,Allen
59,Tony,Tony Allen,2754,Allen
60,Odis,Odis Allison,76029,Allison
61,Lance,Lance Allred,200984,Allred
62,Darrell,Darrell Allums,76030,Allums
63,Morris,Morris Almond,201165,Almond
64,Derrick,Derrick Alston,308,Alston
65,Rafer,Rafer Alston,1747,Alston
66,Peter,Peter Aluma,1824,Aluma
67,John,John Amaechi,680,Amaechi
68,Ashraf,Ashraf Amaya,732,Amaya
