first_name,full_name,id,last_name
Alaa,Alaa Abdelnaby,76001,Abdelnaby
Zaid,Zaid Abdul-Aziz,76002,Abdul-Aziz
Kareem,Kareem Abdul-Jabbar,76003,Abdul-Jabbar
Mahmoud,Mahmoud Abdul-Rauf,51,Abdul-Rauf
Tariq,Tariq Abdul-Wahad,1505,Abdul-Wahad
Shareef,Shareef Abdur-Rahim,949,Abdur-Rahim
Tom,Tom Abernethy,76005,Abernethy
Forest,Forest Able,76006,Able
John,John Abramovic,76007,Abramovic
Alex,Alex Abrines,203518,Abrines
Alex,Alex Acker,101165,Acker
Donald,Donald Ackerman,76008,Ackerman
Mark,Mark Acres,76009,Acres
Charles,Charles Acton,76010,Acton
Quincy,Quincy Acy,203112,Acy
Alvan,Alvan Adams,76011,Adams
Don,Don Adams,76012,Adams
Hassan,Hassan Adams,200801,Adams
Jaylen,Jaylen Adams,1629121,Adams
Jordan,Jordan Adams,203919,Adams
Michael,Michael Adams,149,Adams
Steven,Steven Adams,203500,Adams
Rafael,Rafael Addison,912,Addison
Bam,Bam Adebayo,1628389,Adebayo
Rick,Rick Adelman,76015,Adelman
Jeff,Jeff Adrien,202399,Adrien
Arron,Arron Afflalo,201167,Afflalo
Maurice,Maurice Ager,200772,Ager
Mark,Mark Aguirre,76016,Aguirre
Blake,Blake Ahearn,201336,Ahearn
Danny,Danny Ainge,76017,Ainge
Alexis,Alexis Ajinca,201582,Ajinca
Henry,Henry Akin,76018,Akin
Josh,Josh Akognon,203006,Akognon
DeVaughn,DeVaughn Akoon-Purcell,1629152,Akoon-Purcell
Solomon,Solomon Alabi,202374,Alabi
Mark,Mark Alarie,76019,Alarie
Gary,Gary Alcorn,76020,Alcorn
Furkan,Furkan Aldemir,203128,Aldemir
Cole,Cole Aldrich,202332,Aldrich
LaMarcus,LaMarcus Aldridge,200746,Aldridge
Chuck,Chuck Aleksinas,76021,Aleksinas
Cliff,Cliff Alexander,1626146,Alexander
Cory,Cory Alexander,724,Alexander
Courtney,Courtney Alexander,2042,Alexander
Gary,Gary Alexander,76022,Alexander
Joe,Joe Alexander,201570,Alexander
Victor,Victor Alexander,2349,Alexander
Steve,Steve Alford,76024,Alford
Bob,Bob Allen,76028,Allen
Grayson,Grayson Allen,1628960,Allen
Jarrett,Jarrett Allen,1628386,Allen
Jerome,Jerome Allen,706,Allen
Kadeem,Kadeem Allen,1628443,Allen
Lavoy,Lavoy Allen,202730,Allen
Lucius,Lucius Allen,76027,Allen
Malik,Malik Allen,2124,Allen
Randy,Randy Allen,76025,Allen
Ray,Ray Allen,951,Allen
Tony,Tony Allen,2754,Allen
Odis,Odis Allison,76029,Allison
Lance,Lance Allred,200984,Allred
Darrell,Darrell Allums,76030,Allums
Morris,Morris Almond,201165,Almond
Derrick,Derrick Alston,308,Alston
Rafer,Rafer Alston,1747,Alston
Peter,Peter Aluma,1824,Aluma
John,John Amaechi,680,Amaechi
Ashraf,Ashraf Amaya,732,Amaya
Al-Farouq,Al-Farouq Aminu,202329,Aminu
Lou,Lou Amundson,200811,Amundson
Bob,Bob Anderegg,76034,Anderegg
Chris,Chris Andersen,2365,Andersen
David,David Andersen,2431,Andersen
Alan,Alan Anderson,101187,Anderson
Antonio,Antonio Anderson,202079,Anderson
Cliff,Cliff Anderson,76035,Anderson
Daniel,Daniel Anderson,76036,Anderson
Derek,Derek Anderson,1507,Anderson
Dwight,Dwight Anderson,76037,Anderson
Eric,Eric Anderson,944,Anderson
