,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
0,,,,,,,,,,,,,,,,,,
1,Anthony Davis,Starter,C,16:40,6-9,0-1,0-0,6.0,1.0,1,2,1,2,0,1,0,12,2018.0
2,Kevin Durant,Starter,PF,29:57,7-13,3-8,2-2,18.8,1.0,5,6,5,3,3,2,1,19,2018.0
3,Kyrie Irving,Starter,PG,27:36,6-16,1-5,0-0,14.8,2.0,5,7,9,2,1,1,0,13,2018.0
4,LeBron James,Starter,SF,31:17,12-17,4-8,1-1,26.4,0.0,10,10,8,2,1,5,0,29,2018.0
5,Russell Westbrook,Starter,SG,28:28,4-11,1-6,2-3,13.4,3.0,5,8,8,2,0,2,0,11,2018.0
6,LaMarcus Aldridge,Bench,PF,04:28,0-1,0-0,0-0,0.2,0.0,0,0,0,0,0,0,1,0,2018.0
7,Bradley Beal,Bench,SG,16:51,5-10,4-8,0-0,6.0,0.0,0,0,0,1,1,1,0,14,2018.0
8,Goran Dragic,Bench,PG,11:28,1-3,0-1,0-0,1.8,0.0,4,4,1,2,0,1,0,2,2018.0
9,Andre Drummond,Bench,C,17:36,7-7,0-0,0-0,10.2,1.0,2,3,0,2,0,1,1,14,2018.0
10,Paul George,Bench,SF,26:30,6-15,4-10,0-0,12.8,1.0,4,5,4,2,1,0,0,16,2018.0
11,Victor Oladipo,Bench,SG,15:00,3-8,1-6,0-0,8.5,0.0,2,2,3,0,3,0,0,7,2018.0
12,Kemba Walker,Bench,PG,14:09,5-10,1-5,0-0,6.2,1.0,1,2,1,0,0,0,0,11,2018.0
1,Giannis Antetokounmpo,Starter,PF,26:35,6-14,0-2,4-6,8.5,4.0,3,7,2,2,0,2,0,16,2018.0
2,Stephen Curry,Starter,PG,26:34,4-14,3-11,0-0,5.5,2.0,4,6,5,0,1,6,0,11,2018.0
3,DeMar DeRozan,Starter,SF,26:46,7-13,1-3,6-7,15.1,2.0,4,6,2,1,2,2,0,21,2018.0
