,fule_name,team
0,Kyrie Irving,Boston Celtics
1,DeMar DeRozan,Toronto Raptors
2,LeBron James,Cleveland Cavaliers
3,Joel Embiid,Philadelphia 76ers
4,Giannis Antetokounmpo,Milwaukee Bucks
5,Bradley Beal,Washington Wizards
6,Goran Dragić,Miami Heat
7,Al Horford,Boston Celtics
8,Kevin Love,Cleveland Cavaliers
9,Kyle Lowry,Toronto Raptors
10,Victor Oladipo,Indiana Pacers
11,Kristaps Porziņģis,New York Knicks
12,John Wall (basketball),Washington Wizards
13,Andre Drummond,Detroit Pistons
14,Kemba Walker,Charlotte Hornets
15,Stephen Curry,Golden State Warriors
16,James Harden,Houston Rockets
17,Kevin Durant,Golden State Warriors
18,DeMarcus Cousins,New Orleans Pelicans
19,Anthony Davis,New Orleans Pelicans
20,Russell Westbrook,Oklahoma City Thunder
21,Damian Lillard,Portland Trail Blazers
22,Draymond Green,Golden State Warriors
23,Karl-Anthony Towns,Minnesota Timberwolves
24,LaMarcus Aldridge,San Antonio Spurs
25,Klay Thompson,Golden State Warriors
26,Jimmy Butler,Minnesota Timberwolves
27,Paul George,Oklahoma City Thunder
