1,78023,Irv Rothenberg,1947,0,0,0,1610610036,Washington,Capitols,WAS,Long Island-Brooklyn,College/University
2,78185,Donald Smith,1947,0,0,0,1610610025,Chicago,Stags,CHS,Minnesota,College/University
3,77999,Red Rocha,1947,0,0,0,1610610035,Toronto,Huskies,HUS,Oregon State,College/University
6,77613,Wat Misaka,1947,0,0,0,1610612752,New York,Knicks,NYK,Utah,College/University
7,77938,Joseph Reiser,1947,0,0,0,1610610024,Baltimore,Bullets,BAL,New York University,College/University
15,77684,Fred Nagy,1947,0,0,0,1610610031,Pittsburgh,Ironmen,PIT,Akron,College/University
17,77686,Paul Napolitano,1947,0,0,0,1610610034,St. Louis,Bombers,BOM,San Francisco,College/University
21,79278,Bob Alemeida,1947,0,0,0,1610612738,Boston,Celtics,BOS,Unknown,Unknown
32,79303,Dick Furey,1947,0,0,0,1610610032,Providence,Steamrollers,PRO,St. Thomas (MN),College/University
40,79294,Ed Koffenberger,1947,0,0,0,1610612744,Philadelphia,Warriors,PHW,Duke,College/University
86,78012,Kenny Rollins,1948,0,0,0,1610612765,Ft. Wayne Zollner,Pistons,FTW,Kentucky,College/University
94,77436,Johnny Macknowski,1948,0,0,0,1610612758,Rochester,Royals,ROC,Seton Hall,College/University
98,77425,Ray Lumpp,1948,0,0,0,1610610029,Indianapolis,Jets,JET,New York University,College/University
103,79377,Cliff Crandall,1948,0,0,0,1610612747,Minneapolis,Lakers,MNL,Oregon State,College/University
196,79420,Charlie Maas,1949,0,0,0,1610610030,Indianapolis,Olympians,INO,Butler,College/University
272,600003,Bob Cousy,1950,1,3,3,1610612737,Tri-Cities,Blackhawks,TCB,Holy Cross,College/University
280,77402,Don Lofgran,1950,1,11,11,1610612755,Syracuse,Nationals,SYR,San Francisco,College/University
1350,76144,Walt Bellamy,1961,1,1,1,1610612764,Chicago,Packers,CHP,Indiana,College/University
1865,78081,Dave Schellhase,1966,1,10,10,1610612741,Chicago,Bulls,CHI,Purdue,College/University
1973,78372,Al Tucker,1967,1,6,6,1610612760,Seattle,SuperSonics,SEA,Oklahoma Baptist,College/University
1974,77962,Pat Riley,1967,1,7,7,1610612745,San Diego,Rockets,SDR,Kentucky,College/University
2136,77815,Charlie Paulk,1968,1,7,7,1610612749,Milwaukee,Bucks,MIL,Northeastern State,College/University
2150,76485,Dick Cunningham,1968,2,7,21,1610612756,Phoenix,Suns,PHX,Murray State,College/University
2568,77152,John Johnson,1970,1,7,7,1610612739,Cleveland,Cavaliers,CLE,Iowa,College/University
2569,77844,Geoff Petrie,1970,1,8,8,1610612757,Portland,Trail Blazers,POR,Princeton,College/University
2576,77080,John Hummer,1970,1,15,15,1610612746,Buffalo,Braves,BUF,Princeton,College/University
3474,77115,Aaron James,1974,2,10,28,1610612762,New Orleans,Jazz,NOJ,Grambling,College/University
3978,77264,Bernard King,1977,1,7,7,1610612751,New Jersey,Nets,NJN,Tennessee,College/University
3980,77328,Tom LaGarde,1977,1,9,9,1610612743,Denver,Nuggets,DEN,North Carolina,College/University
4000,76229,Alonzo Bradley,1977,2,7,29,1610612754,Indiana,Pacers,IND,Texas Southern,College/University
4008,78537,Jeff Wilkins,1977,2,15,37,1610612759,San Antonio,Spurs,SAN,Illinois State,College/University
4556,78404,Kiki Vandeweghe,1980,1,11,11,1610612742,Dallas,Mavericks,DAL,California-Los Angeles,College/University
6154,364,Rex Chapman,1988,1,8,8,1610612766,Charlotte,Hornets,CHH,Kentucky,College/University
6155,938,Rony Seikaly,1988,1,9,9,1610612748,Miami,Heat,MIA,Syracuse,College/University
6231,71,Pooh Richardson,1989,1,10,10,1610612750,Minnesota,Timberwolves,MIN,California-Los Angeles,College/University
6232,98,Nick Anderson,1989,1,11,11,1610612753,Orlando,Magic,ORL,Illinois,College/University
6551,735,Bryant Reeves,1995,1,6,6,1610612763,Vancouver,Grizzlies,VAN,Oklahoma State,College/University
6552,757,Damon Stoudamire,1995,1,7,7,1610612761,Toronto,Raptors,TOR,Arizona,College/University
7024,2561,David West,2003,1,18,18,1610612740,New Orleans,Hornets,NOH,Xavier,College/University
