FIRST_NAME,FULL_NAME,LAST_NAME,PLAYER_ID
Frankie,Frankie Brian,Brian,1
Byron,Byron Scott,Scott,2
Grant,Grant Long,Long,3
Dike,Dike Eddleman,Eddleman,4
Fred,Fred Scolari,Scolari,5
Bill,Bill Gabor,Gabor,6
Dan,Dan Schayes,Schayes,7
Red,Red Kerr,Kerr,8
Sedale,Sedale Threatt,Threatt,9
Tommy,Tommy Heinsohn,Heinsohn,10
Kenny,Kenny Sears,Sears,11
Chris,Chris King,King,12
Hot,Hot Rod Hundley,Hundley,13
Mahdi,Mahdi Abdul-Rahman,Abdul-Rahman,14
Eric,Eric Piatkowski,Piatkowski,15
World,World B. Free,Free,16
Clyde,Clyde Drexler,Drexler,17
Tiny,Tiny Archibald,Archibald,18
Jo Jo,Jo Jo White,White,19
Mo,Mo Cheeks,Cheeks,20
Greg,Greg Anthony,Anthony,21
Rik,Rik Smits,Smits,22
Dennis,Dennis Rodman,Rodman,23
Keith,Keith Jennings,Jennings,24
Fat,Fat Lever,Lever,25
Luc,Luc Longley,Longley,26
Cliff,Cliff Robinson,Robinson,27
Doug,Doug West,West,28
Jim,Jim McIlvaine,McIlvaine,29
Richard,Richard Dumas,Dumas,30
Lorenzo,Lorenzo Williams,Williams,31
Clifford,Clifford Rozier,Rozier,32
Penny,Penny Hardaway,Hardaway,33
Steve,Steve Smith,Smith,34
Eric,Eric Riley,Riley,35
Sarunas,Sarunas Marciulionis,Marciulionis,36
Greg,Greg Graham,Graham,37
Brad,Brad Lohaus,Lohaus,38
Anthony,Anthony Bonner,Bonner,41
Monty,Monty Williams,Williams,42
Chris,Chris Whitney,Whitney,43
George,George McCloud,McCloud,45
Mike,Mike Peplowski,Peplowski,46
Wayman,Wayman Tisdale,Tisdale,47
Gheorghe,Gheorghe Muresan,Muresan,49
Mahmoud,Mahmoud Abdul-Rauf,Abdul-Rauf,51
Micheal,Micheal Williams,Williams,52
Mario,Mario Elie,Elie,53
Dickey,Dickey Simpkins,Simpkins,54
Marty,Marty Conlon,Conlon,55
Gary,Gary Payton,Payton,56
Doug,Doug Christie,Christie,57
Carl,Carl Herrera,Herrera,61
Michael,Michael Smith,Smith,63
Sam,Sam Perkins,Perkins,64
Greg,Greg Minor,Minor,65
Marques,Marques Bragg,Bragg,66
Tom,Tom Hammonds,Hammonds,67
Steve,Steve Kerr,Kerr,70
Pooh,Pooh Richardson,Richardson,71
Kenny,Kenny Anderson,Anderson,72
Hot Rod,Hot Rod Williams,Williams,73
Derrick,Derrick Phelps,Phelps,74
Cedric,Cedric Ceballos,Ceballos,76
Doug,Doug Overton,Overton,77
LaSalle,LaSalle Thompson,Thompson,78
Ken,Ken Norman,Norman,80
Jeff,Jeff Grayer,Grayer,81
Bill,Bill Wennington,Wennington,82
Latrell,Latrell Sprewell,Sprewell,84
Brent,Brent Price,Price,85
Dikembe,Dikembe Mutombo,Mutombo,87
Steve,Steve Scheffler,Scheffler,88
Nick,Nick Van Exel,Van Exel,89
Hubert,Hubert Davis,Davis,93
Mark,Mark Bryant,Bryant,95
Detlef,Detlef Schrempf,Schrempf,96
Ronnie,Ronnie Grandison,Grandison,97
Nick,Nick Anderson,Anderson,98
Tim,Tim Legler,Legler,100
Scott,Scott Skiles,Skiles,101
Todd,Todd Day,Day,103
Benoit,Benoit Benjamin,Benjamin,104
Dan,Dan Majerle,Majerle,105
Dale,Dale Ellis,Ellis,107
Robert,Robert Horry,Horry,109
LaPhonso,LaPhonso Ellis,Ellis,111
Dontonio,Dontonio Wingfield,Wingfield,112
Harold,Harold Miner,Miner,114
David,David Wood,Wood,116
Jeff,Jeff Malone,Malone,117
Steven,Steven Smith,Smith,120
Patrick,Patrick Ewing,Ewing,121
Fred,Fred Roberts,Roberts,122
Robert,Robert Pack,Pack,123
Vlade,Vlade Divac,Divac,124
David,David Benoit,Benoit,128
Dino,Dino Radja,Radja,129
Dwayne,Dwayne Morton,Morton,132
David,David Wesley,Wesley,133
Kevin,Kevin Johnson,Johnson,134
P.J.,P.J. Brown,Brown,136
Vernon,Vernon Maxwell,Maxwell,137
Anthony,Anthony Avent,Avent,138
Donald,Donald Royal,Royal,140
Anthony,Anthony Tucker,Tucker,141
Terry,Terry Dehere,Dehere,143
Tracy,Tracy Murray,Murray,145
Jud,Jud Buechler,Buechler,146
Jalen,Jalen Rose,Rose,147
Michael,Michael Adams,Adams,149
Adrian,Adrian Caldwell,Caldwell,154
Antoine,Antoine Carr,Carr,156
Derek,Derek Harper,Harper,157
Tim,Tim Breaux,Breaux,160
Chris,Chris Childs,Childs,164
Hakeem,Hakeem Olajuwon,Olajuwon,165
Ron,Ron Harper,Harper,166
Chris,Chris Mills,Mills,168
Joe,Joe Kleine,Kleine,170
Keith,Keith Askins,Askins,173
John,John Battle,Battle,174
Alton,Alton Lister,Lister,175
Antonio,Antonio Harvey,Harvey,176
Muggsy,Muggsy Bogues,Bogues,177
Olden,Olden Polynice,Polynice,178
Bryant,Bryant Stith,Stith,179
John,John Crotty,Crotty,180
Kenny,Kenny Smith,Smith,181
Billy,Billy Owens,Owens,182
Bison,Bison Dele,Dele,183
Bobby,Bobby Phills,Phills,184
Chris,Chris Webber,Webber,185
Terry,Terry Cummings,Cummings,187
B.J.,B.J. Tyler,Tyler,189
Duane,Duane Causwell,Causwell,190
Dennis,Dennis Scott,Scott,192
Anthony,Anthony Mason,Mason,193
Anthony,Anthony Bowie,Bowie,194
Lee,Lee Mayberry,Mayberry,195
Scott,Scott Burrell,Burrell,197
Danny,Danny Ferry,Ferry,198
Reggie,Reggie Williams,Williams,199
Chris,Chris Dudley,Dudley,201
Gary,Gary Grant,Grant,202
Nate,Nate McMillan,McMillan,203
Jeff,Jeff Hornacek,Hornacek,204
Sam,Sam Cassell,Cassell,208
Dell,Dell Curry,Curry,209
Terrell,Terrell Brandon,Brandon,210
Eric,Eric Mobley,Mobley,211
Yinka,Yinka Dare,Dare,212
Antonio,Antonio Davis,Davis,213
