RECORD_ID,FULL_NAME,YEAR_START,YEAR_END,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE,PLAYER_ID
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,76001
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,76002
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",76003
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,51
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,1505
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,949
6,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,76005
7,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,76006
9,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,101165
11,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,76009
13,Quincy Acy,2013,2018,F,6-7,240,"October 6, 1990",Baylor University,203112
14,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,76011
15,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,76012
16,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,81525
17,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,200801
18,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",203919
19,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,149
20,Steven Adams,2014,2018,C,7-0,255,"July 20, 1993",University of Pittsburgh,203500
21,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,912
22,Bam Adebayo,2018,2018,C-F,6-10,243,"July 18, 1997",University of Kentucky,1628389
23,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,76015
25,Arron Afflalo,2008,2018,G,6-5,210,"October 15, 1985","University of California, Los Angeles",201167
26,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,200772
27,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,76016
29,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,76017
30,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,80647
31,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,76018
33,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,202374
34,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,76019
35,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",76020
36,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",University of Kansas,202332
37,LaMarcus Aldridge,2007,2018,F-C,6-11,260,"July 19, 1985",University of Texas at Austin,200746
38,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,76021
40,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,724
41,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",2042
43,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,201570
44,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,2349
45,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,76024
46,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,76028
47,Jarrett Allen,2018,2018,F-C,6-10,234,"April 21, 1998",University of Texas at Austin,1628386
48,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,706
49,Kadeem Allen,2018,2018,G,6-3,192,"January 15, 1993",University of Arizona,1628443
50,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University,202730
51,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",76027
53,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,81804
54,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,951
55,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982",Oklahoma State University,2754
56,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,81319
57,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",76029
59,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",76030
60,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,201165
61,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,308
62,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",1747
