STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,76001,0,0,256,53,3200,620,1236,0.501618,0,3,0,225,321,0.700934,283,563,846,85,71,69,247,484,1465
1,76002,0,0,505,0,11023,1769,4138,0.427501,0,0,0,1019,1400,0.727857,503,1124,4065,601,131,205,11,1120,4557
2,76003,0,0,1560,1476,57446,15837,28307,0.559472,1,18,0.055555555555556,6712,9304,0.72141,2975,9394,17440,5660,1160,3189,2527,4657,38387
3,51,0,0,586,336,15627,3514,7943,0.442402,474,1339,0.353995,1051,1161,0.905254,219,868,1087,2079,487,46,963,1106,8553
4,1505,0,0,236,145,4809,720,1726,0.417149,18,76,0.236842,372,529,0.703213,286,490,776,266,184,83,309,485,1830
5,949,0,0,830,704,28882,5434,11515,0.471906,154,519,0.296724,4006,4943,0.810439,1869,4370,6239,2109,820,638,2136,2324,15028
6,76005,0,0,319,40,5434,724,1472,0.491847,0,2,0,331,443,0.747178,374,637,1011,384,185,60,129,525,1779
7,76006,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
8,76007,0,0,56,0,0,203,855,0.237426,0,0,0,127,185,0.686486,0,0,0,37,0,0,0,171,533
9,203518,0,0,172,16,2763,304,785,0.387261,218,592,0.368243,95,108,0.879629,49,198,247,88,92,22,72,289,921
10,101165,0,0,30,0,235,34,92,0.369565,8,25,0.32,5,10,0.5,9,20,29,16,6,4,11,13,81
11,76008,0,0,28,0,220,14,63,0.222222,0,0,0,15,28,0.535714,0,15,15,23,0,0,0,43,43
12,76009,0,0,375,68,5982,514,1016,0.505905,7,13,0.538461,308,463,0.665226,581,944,1525,180,137,104,235,932,1343
13,76010,0,0,23,0,195,29,74,0.391891,0,0,0,19,29,0.655172,0,47,47,11,0,0,0,35,77
14,203112,0,0,332,60,5310,579,1301,0.445042,181,513,0.352826,287,378,0.759259,306,849,1155,209,140,132,216,650,1626
15,76011,0,0,988,744,27203,5709,11464,0.497993,2,15,0.133333333333333,2490,3160,0.787974,2015,4922,6937,4012,1289,808,2194,3214,13910
16,76012,0,0,487,0,12407,1682,4186,0.401815,0,0,0,872,1180,0.738983,364,844,2732,869,283,55,0,1591,4236
17,200801,0,0,73,8,547,79,148,0.533783,0,1,0,27,42,0.642857,36,48,84,14,18,5,26,51,185
18,1629121,0,0,9,0,43,3,10,0.3,2,6,0.333333,0,0,0,0,3,3,6,3,1,1,4,8
19,203919,0,0,32,0,263,37,92,0.402173,10,26,0.384615,17,28,0.607142,9,21,30,19,19,7,16,26,101
20,149,0,0,653,510,20446,3257,7849,0.414957,949,2857,0.332166,2158,2543,0.848604,416,1484,1900,4209,1081,67,1402,1193,9621
21,203500,0,0,430,366,11329,1668,2829,0.589607,0,6,0,726,1283,0.565861,1425,1697,3122,416,367,421,595,1171,4062
22,912,0,0,379,54,5695,920,2047,0.449438,69,245,0.281632,277,359,0.771587,262,518,780,339,148,83,284,671,2186
23,1628389,0,0,111,25,2286,298,569,0.523725,1,15,0.066666,212,293,0.723549,209,459,668,191,63,76,121,245,809
24,76015,0,0,462,0,10427,1381,3330,0.414714,0,0,0,817,1146,0.712914,41,123,1129,1606,106,9,0,990,3579
25,202399,0,0,153,17,2149,264,557,0.473967,0,2,0,181,288,0.628472,221,438,659,100,50,79,91,259,709
26,201167,0,0,762,537,20829,2983,6633,0.449721,852,2205,0.386394,1380,1673,0.824865,334,1842,2176,1386,341,141,852,1481,8198
27,200772,0,0,82,4,506,64,189,0.338624,11,44,0.25,30,53,0.566037,8,38,46,19,6,6,29,65,169
28,76016,0,0,923,639,27730,7201,14865,0.484426,392,1258,0.311605,3664,4944,0.7411,1704,2874,4578,2871,687,296,2306,2599,18458
