CREATED_AT,TWEET_ID,TWEET,USER_ID,USER_NAME,RETWEET_COUNT,FAVORITE_COUNT,HASHTAGS
2019-02-14 17:40:19,1096101845657735168,"RT @Stadium: Derrick Rose's journey is a redemption story told in 'A Rose From A Concrete Jungle.'

Pooh: The Derrick Rose Story. Coming to…",612792060,Derrick Rose,756,0,
2019-01-30 16:00:01,1090640786008358912,"Proud to share the story you don't know. 
Pooh: The Derrick Rose Story coming 4.11.19 
@watchstadium https://t.co/00KksSthuL",612792060,Derrick Rose,38181,88806,
2019-01-07 20:25:21,1082372638712852480,I messed up by using the slang term “kill yourself” today in response to a question about whether I can continue to… https://t.co/X4IjScJZw8,612792060,Derrick Rose,12787,126756,
2018-12-07 19:58:39,1071131895365218304,"RT @Timberwolves: “My whole life, all I had was my family, a ball, and a dream.”

@drose is whole again.🌹

Spotlight presented by @DraftKin…",612792060,Derrick Rose,3691,0,
2018-11-19 18:02:25,1064579665581432859,"Congratulations to Gabriel Lee, our Rose Scholar and Grand Prize winner who will be receiving up to $200,000 for hi… https://t.co/ruMkUBAVkt",612792060,Derrick Rose,2333,13115,
2018-11-15 17:13:17,1063117746743865344,"Congratulations to @_AlbertoOrtiz, our Rose Scholar receiving $10,000 for his college education at Middle Tennessee… https://t.co/Kk4mRbJSq3",612792060,Derrick Rose,875,6222,
2018-10-04 18:46:35,1047920937817976832,"RT @WatchStadium: Happy 30th Birthday to Chicago's very own, @drose. 🌹

#POOH: A Stadium Documentary, coming February. 👀 https://t.co/xOGSS…",612792060,Derrick Rose,1715,0,['POOH']
2018-09-21 22:09:57,1043261073929826304,Just got my YEEZY boost 350 V2 Triple Whites 🔥 Get yours on https://t.co/jr5DTk4vyp &amp; Yeezy Supply #giftedbyadidas https://t.co/BtNuTx1fez,612792060,Derrick Rose,996,7516,['giftedbyadidas']
2018-08-08 17:25:20,1027244382385102848,Out here in Xi'an! https://t.co/JutOCM0NF7,612792060,Derrick Rose,3300,18101,['giftedbyadidas']
2018-08-01 22:23:33,1024782716447813632,"I'm excited to share the launch of The Rose Scholars program, a scholarship program which seeks to give high school… https://t.co/b616jcTzsD",612792060,Derrick Rose,4781,15960,['giftedbyadidas']
2018-07-25 01:55:06,1021936848879247360,Really enjoyed an advanced screening of @MissionFilm. Ya’ll go see it when it opens July 27! Best one yet!… https://t.co/w0tEYmOPal,612792060,Derrick Rose,854,7023,['giftedbyadidas']
2018-07-20 20:23:32,1020403859032698880,"RT @WatchStadium: Today, newest @ChicagoBulls forward and fellow Simeon-alum Jabari Parker spoke highly of former Bull, @drose. 

For Derri…",612792060,Derrick Rose,936,0,['giftedbyadidas']
2018-07-16 20:28:49,1018955636510343168,Huge congrats to my friend @AntoGriezmann on the #WorldCup win and the Man of the Match honors in the final. Great… https://t.co/RoD3HxpBu9,612792060,Derrick Rose,9069,44825,['WorldCup']
2018-02-22 23:54:49,966823622709936129,RT @countermoveco: Office Vibes https://t.co/rEWDQLn5tm,612792060,Derrick Rose,232,0,['WorldCup']
2017-07-28 16:32:09,890973159385579520,"Las Vegas, catch me and the rest of my @adidasHoops fam hanging at #LVL3 today. See you there. https://t.co/jmpV1oAtmU",612792060,Derrick Rose,570,4222,['LVL3']
2017-07-25 16:59:49,889892958098530304,📍Las Vegas. July 27-28. Come hang with me at #LVL3 with @adidasHoops https://t.co/QqqYueWv8K,612792060,Derrick Rose,737,3804,['LVL3']
2017-06-30 17:50:06,880845915182911489,S/O to my adidas fam for the gear!  #crazy #giftedbyadidas @adidasoriginals https://t.co/8NoFA0g4Lr,612792060,Derrick Rose,645,4047,"['crazy', 'giftedbyadidas']"
2017-06-01 02:37:28,870106997705682945,Need all my followers to me a favor &amp; vote for @midwestdream_ for the 2017 TBT tourney. Voting ends at 12pm tomorro… https://t.co/NgCYoKgqDj,612792060,Derrick Rose,541,2420,"['crazy', 'giftedbyadidas']"
