RK,FULL_NAME,TWITTER_ACC
1,Kareem Abdul-Jabbar\abdulka01,kaj33
2,Alex Abrines\abrinal01,alexabrines
3,Quincy Acy\acyqu01,QuincyAcy
4,Jaylen Adams\adamsja01,10jadams
5,Jordan Adams\adamsjo01,jordanadams1231
6,Steven Adams\adamsst01,RealStevenAdams
7,Bam Adebayo\adebaba01,Bam1of1
8,Jeff Adrien\adrieje01,Adrien4
9,Maurice Ager\agerma01,moeager
10,Danny Ainge\aingeda01,danielrainge
11,Alexis Ajinca\ajincal01,AjincaAlexis42
12,Furkan Aldemir\aldemfu01,furkanaldemir19
13,Cole Aldrich\aldrico01,colea45
14,LaMarcus Aldridge\aldrila01,aldridge_12
15,Cliff Alexander\alexacl01,CAlexander
16,Bryce Alford\alforbr01,balford20
17,Rawle Alkins\alkinra01,Iam_RawleAlkins
18,Grayson Allen\allengr01,GraysonJAllen
19,Jarrett Allen\allenja01,JarrettAllen55
20,Malik Allen\allenma01,THEleekAllen30
21,Ray Allen\allenra02,greenRAYn20
22,Tony Allen\allento01,aa000G9
23,Morris Almond\almonmo01,FreeMoAlmond
24,John Amaechi\amaecjo01,JohnAmaechi
25,Al-Farouq Aminu\aminual01,farouq1
26,Lou Amundson\amundlo01,LouAmundson17
27,Alan Anderson\anderal01,ASqared06
28,C.J. Anderson\andercj01,cjanderson_23
29,Justin Anderson\anderju01,JusAnderson1
30,Kenny Anderson\anderke01,chibbs_1
31,Kyle Anderson\anderky01,KyleAnderson5
32,Braian Angola-Rodas\angolbr01,Angola2411
33,Ike Anigbogu\anigbik01,IkePostrs_
34,Giannis Antetokounmpo\antetgi01,Giannis_An34
35,Kostas Antetokounmpo\antetko01,Kostas_ante13
36,Carmelo Anthony\anthoca01,carmeloanthony
37,Greg Anthony\anthogr01,GregAnthony50
38,OG Anunoby\anunoog01,OAnunoby
39,Robert Archibald\archiro01,RobertArchibald
40,Ryan Arcidiacono\arcidry01,RyArch15
41,Gilbert Arenas\arenagi01,agentzeroshow
42,Trevor Ariza\arizatr01,TrevorAriza
43,Darrell Arthur\arthuda01,DarrellArthur00
44,Jamel Artis\artisja01,melartis1
45,Brandon Ashley\ashlebr01,_Bash21
46,Omer Asik\asikom01,AsikOmer
47,Gustavo Ayon\ayongu01,Gustavo_Ayon15
48,Deandre Ayton\aytonde01,DeandreAyton
49,Kelenna Azubuike\azubuke01,KAzubuike7
50,Luke Babbitt\babbilu01,Realbabbitt08
51,Jordan Bachynski\bachyjo01,BLOCKchynski
52,Dwayne Bacon\bacondw01,BaconDwayne1000
53,Marvin Bagley\baglema01,MB3FIVE
54,Ron Baker\bakerro01,RonBaker31
55,Wade Baldwin\baldwwa01,The_Fourth_Wade
56,Renaldo Balkman\balkmre01,R_Balkman32
57,Lonzo Ball\balllo01,ZO2_
58,Leandro Barbosa\barbole01,TheBlurBarbosa
59,J.J. Barea\bareajo01,jjbareapr
60,Andrea Bargnani\bargnan01,AndreaBargnani
61,Harrison Barnes\barneha02,HBarnes
62,Matt Barnes\barnema02,Matt_Barnes22
63,Jordan Barnett\barnejo01,JBounce33
64,Earl Barron\barroea01,earldee
65,Brent Barry\barrybr01,Barryathree
66,Canyon Barry\barryca01,cbarry719
67,Rick Barry\barryri01,Rick24Barry
68,Will Barton\bartowi01,WillTheThrillB5
69,Keita Bates-Diop\bateske01,KDB_33
70,Shane Battier\battish01,ShaneBattier
71,Nicolas Batum\batumni01,nicolas88batum
72,Jerryd Bayless\bayleje01,jerrydbayless
73,Elgin Baylor\bayloel01,elginbaylor
74,Aron Baynes\baynear01,aronbaynes
75,Kent Bazemore\bazemke01,24Bazemore
76,V.J. Beachem\beachvj01,VjBeachem
77,Bradley Beal\bealbr01,RealDealBeal23
78,Malik Beasley\beaslma01,Mbeasy5
79,Michael Beasley\beaslmi01,easyst0
80,Beau Beech\beechbe01,beaubeech02
81,Marco Belinelli\belinma01,marcobelinelli
82,Charlie Bell\bellch01,flintstone14
83,Jordan Bell\belljo01,1jordanbell
84,Troy Bell\belltr01,TroyBellS2P
85,DeAndre' Bembry\bembrde01,fearthefro95
86,Dragan Bender\bendedr01,DBender03
87,Jonathan Bender\bendejo01,jonathanbender9
88,Anthony Bennett\bennean01,AnthonyBennett
89,Keith Benson\bensoke02,RealKITO
90,Joel Berry\berryjo01,JoelBerryII
91,Davis Bertans\bertada01,DBertans_42
92,Patrick Beverley\beverpa01,patbev21
93,Justin Bibbs\bibbsju01,JustinBibbs10
94,Chauncey Billups\billuch01,1MrBigShot
95,Khem Birch\birchkh01,Khem_Birch
96,Jabari Bird\birdja01,Jabari_Bird
97,Bismack Biyombo\biyombi01,bismackbiyombo
98,Nemanja Bjelica\bjeline01,NemanjaBjelica
99,Tarik Black\blackta01,TarikBlack25
100,James Blackmon\blackja02,jblackmon2
101,DeJuan Blair\blairde01,DeJuan45
102,Steve Blake\blakest01,SteveBlake5
103,Antonio Blakeney\blakean01,blakeney96
104,Andray Blatche\blatcan01,drayblatche
105,Eric Bledsoe\bledser01,EBled2
106,Jaron Blossomgame\blossja01,JaronBgame
107,Vander Blue\blueva01,veezy_SQ
108,Trevon Bluiett\bluietr01,TrevonBluiett
109,Ryan Boatright\boatrry01,Ryanboatright11
110,Bogdan Bogdanovic\bogdabo01,LeaderOfHorde
111,Bojan Bogdanovic\bogdabo02,44Bojan
112,Muggsy Bogues\boguemu01,MuggsyBogues
113,Andrew Bogut\bogutan01,andrewbogut
114,Jonah Bolden\boldejo01,Jonahbolden43
115,Tim Bond\bondti01,itsbout_TIM
116,Isaac Bonga\bongais01,isaacbonga
117,Matt Bonner\bonnema01,MattBonner_SAS
118,Devin Booker\bookede01,DevinBook
119,Trevor Booker\booketr01,35_Fitz
