RK,FULL_NAME,TWITTER_ACC
1,LeBron James,KingJames
2,Chris Paul,CP3
3,Joel Embiid,JoelEmbiid
4,Kyrie Irving,KyrieIrving
5,Gordon Hayward,gordonhayward
6,James Harden,JHarden13
7,Kevin Durant,KDTrey5
8,Stephen Curry,StephenCurry30
9,Klay Thompson,KlayThompson
10,Paul George,Yg_Trece
11,Russell Westbrook,russwest44
12,Dwyane Wade,DwyaneWade
13,Luka Doncic,luka7doncic
14,Jayson Tatum,jaytatum0
15,Jaylen Brown,FCHWPO
16,Kobe Bryant,kobebryant
17,Giannis Antetokounmpo,Giannis_An34
18,Derrick Rose,drose
19,Carmelo Anthony,carmeloanthony
20,Paul Pierce,paulpierce34
