CREATED_AT,TWEET_ID,TWEET,USER_ID,USER_NAME,RETWEET_COUNT,FAVORITE_COUNT,HASHTAGS
2019-02-18 08:25:52,1097411864357687296,"Kyrie enjoyed the opportunity to play with greatness, as he helped Team LeBron earn a 178-164 win over Team Giannis… https://t.co/gg6chUxyDv",18139461,Boston Celtics,166,1176,
2019-02-18 06:46:44,1097386917719666689,"Kyrie Irving stresses the importance of Sunday night’s All-Star reps, as he shook off some post-injury cobwebs and… https://t.co/UG7G6w9WDR",18139461,Boston Celtics,62,508,
2019-02-18 04:18:55,1097349720756944896,#NBAAllStar 2019 is a wrap! https://t.co/4YUmB2ycxp,18139461,Boston Celtics,318,2829,['NBAAllStar']
2019-02-18 03:52:13,1097343001842438144,LOB IT UP https://t.co/blxVkWgORN,18139461,Boston Celtics,414,2347,['NBAAllStar']
2019-02-18 03:42:45,1097340616445476865,🌟 https://t.co/vlfSqKCtqe,18139461,Boston Celtics,583,3317,['NBAAllStar']
2019-02-18 02:23:31,1097320677491634176,Tricked him 😏 https://t.co/CyfXS0m4Rs,18139461,Boston Celtics,243,1694,['NBAAllStar']
2019-02-18 02:13:52,1097318250646507520,#KyrieIrving 🔥 https://t.co/PFuUmjyjie,18139461,Boston Celtics,727,5183,['KyrieIrving']
2019-02-18 00:43:44,1097295564591509504,🔜 https://t.co/lLv2IT0RY4,18139461,Boston Celtics,333,1956,['KyrieIrving']
2019-02-17 22:46:06,1097265964905836544,#KyrieIrving has arrived #NBAAllStar https://t.co/Bd7n7s9gCK,18139461,Boston Celtics,450,3266,"['KyrieIrving', 'NBAAllStar']"
2019-02-17 20:28:27,1097231320802123776,"#KyrieIrving
#KyrieIrving
#KyrieIrving
#KyrieIrving
#KyrieIrving https://t.co/50mWW7uL33",18139461,Boston Celtics,657,3584,"['KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving']"
2019-02-17 16:49:46,1097176287829995521,Throw it back to the year it all started: https://t.co/TVVRPsAb4W https://t.co/RFVu3e5N80,18139461,Boston Celtics,27,340,"['KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving']"
2019-02-17 05:13:16,1097001010990628864,RT @Al_Horford: Winner!!!! https://t.co/v5xp1WUiUS,18139461,Boston Celtics,697,0,"['KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving']"
2019-02-17 04:25:31,1096988993936347137,Jayson Tatum became the first Celtics player in franchise history to win the NBA Skills Challenge. https://t.co/9VbN1QuYD7,18139461,Boston Celtics,1759,8385,"['KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving']"
2019-02-17 04:09:51,1096985047628959744,"Jayson Tatum capped off his All-Star Weekend in style, earning the Skills Challenge trophy thanks to a miraculous h… https://t.co/WvNWHRVnww",18139461,Boston Celtics,114,1054,"['KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving', 'KyrieIrving']"
