CREATED_AT,TWEET_ID,TWEET,USER_ID,USER_NAME,RETWEET_COUNT,FAVORITE_COUNT,HASHTAGS
2019-02-18 19:22:00,1097576987068108801,"Khris lights up #NBAAllStar for 20 points!!

#KhrisMiddleton https://t.co/v9QEa5VViW",15900167,Milwaukee Bucks,16,117,"['NBAAllStar', 'KhrisMiddleton']"
2019-02-18 18:32:01,1097564408488747009,"""Giannis was pretty special tonight. I think he enjoyed it. It was great for him and all his teammates with his gro… https://t.co/P1rJgHoPbW",15900167,Milwaukee Bucks,7,118,"['NBAAllStar', 'KhrisMiddleton']"
2019-02-18 17:43:46,1097552265756446720,"""Family over everything. The most important thing for me is family. I just want them to go through the experience,… https://t.co/w0Yqp3lZEI",15900167,Milwaukee Bucks,34,264,"['NBAAllStar', 'KhrisMiddleton']"
2019-02-18 16:57:27,1097540610087620615,"""Six years in the making right there... it's a special moment.""

#KhrisMiddleton https://t.co/DC6zuRc7hL",15900167,Milwaukee Bucks,11,174,['KhrisMiddleton']
2019-02-18 16:06:00,1097527662350950400,"On repeat forever.

#NBAAllStar https://t.co/6s5poKRItQ",15900167,Milwaukee Bucks,351,1528,['NBAAllStar']
2019-02-18 15:34:00,1097519608876027904,"HISTORIC NIGHT!!

@Giannis_An34 led all scorers with 38 points (17-23 FG), along with 11 rebounds and 5 assists for… https://t.co/0QiyFyiQc1",15900167,Milwaukee Bucks,152,822,['NBAAllStar']
2019-02-18 14:44:59,1097507274120142856,"🦌🌟 “Put on a SHOW at #NBAAllStar!!”

https://t.co/3RiulEtj9Y",15900167,Milwaukee Bucks,21,304,['NBAAllStar']
2019-02-18 07:48:20,1097402421146460160,RT @Giannis_An34: Dunk contest next year??🤔 👍🏽or👎🏽 https://t.co/Xg6aPoTjOI,15900167,Milwaukee Bucks,8425,0,['NBAAllStar']
2019-02-18 05:40:00,1097370123692793858,"""Me and #KhrisMiddleton represented the Bucks the right way.""

#Giannis gives his thoughts post All-Star game: https://t.co/pO3unx35Kq",15900167,Milwaukee Bucks,87,767,"['KhrisMiddleton', 'Giannis']"
2019-02-18 05:32:00,1097368110389256192,"""It's unbelievable. I had an amazing time out there and hopefully there will be a lot more.""

#KhrisMiddleton thoug… https://t.co/CfOWYKR6Oe",15900167,Milwaukee Bucks,31,286,['KhrisMiddleton']
2019-02-18 05:26:00,1097366600473206784,"""It's scary to see how far he can keep going. To be that young and already at the top as one of the elites of the g… https://t.co/x9xH1jB34f",15900167,Milwaukee Bucks,89,680,['KhrisMiddleton']
2019-02-18 05:22:00,1097365593882324993,"58 Points.

#Giannis | #KhrisMiddleton | #NBAAllStar https://t.co/iBoEZdqas7",15900167,Milwaukee Bucks,146,1553,"['Giannis', 'KhrisMiddleton', 'NBAAllStar']"
2019-02-18 05:12:35,1097363225228775424,"""It's such a special weekend and I feel honored to be here."" - Coach Bud https://t.co/ftL70A1dbN",15900167,Milwaukee Bucks,15,160,"['Giannis', 'KhrisMiddleton', 'NBAAllStar']"
2019-02-18 05:02:11,1097360608700362752,"""Six years in the making right there...to be on the same court as my guy tonight, it's a special moment.""… https://t.co/BOBGJ63hx3",15900167,Milwaukee Bucks,40,382,"['Giannis', 'KhrisMiddleton', 'NBAAllStar']"
2019-02-18 05:00:53,1097360280026271748,"""I had fun, my family had fun and it's just a great experience.""

#Giannis' thoughts on this year's #NBAAllStar Bre… https://t.co/bi3Gt92IZV",15900167,Milwaukee Bucks,89,599,"['Giannis', 'NBAAllStar']"
2019-02-18 04:50:55,1097357770670649345,"Not bad for an #NBAAllStar debut!!

#KhrisMiddleton https://t.co/yZJj6RoEQM",15900167,Milwaukee Bucks,45,563,"['NBAAllStar', 'KhrisMiddleton']"
2019-02-18 04:41:44,1097355459751743488,"The Greek Freak WENT OFF!!

#Giannis | #NBAAllStar https://t.co/zj6e4rPkHZ",15900167,Milwaukee Bucks,107,649,"['Giannis', 'NBAAllStar']"
2019-02-18 04:35:49,1097353973722427392,"The best from K-Midd as he led the #TeamGiannis bench with 20 points in his All-Star debut!! 

#KhrisMiddleton |… https://t.co/vgpmY5iKeU",15900167,Milwaukee Bucks,36,287,"['TeamGiannis', 'KhrisMiddleton']"
2019-02-18 04:24:11,1097351046056366080,"The best plays as the the Greek Freak led #TeamGiannis with 38 points!!

#Giannis | #NBAAllStar https://t.co/AZcfyOM8ib",15900167,Milwaukee Bucks,159,704,"['TeamGiannis', 'Giannis', 'NBAAllStar']"
2019-02-18 04:06:04,1097346485467992064,Captain vs Captain 🖼 https://t.co/RRt1mrLRNs,15900167,Milwaukee Bucks,120,772,"['TeamGiannis', 'Giannis', 'NBAAllStar']"
2019-02-18 03:54:08,1097343483298414592,"The Greek Freak DUNKS IT ON The King 😱

#GiannisAntetokounmpo | #KiaAllStarMVP https://t.co/zLwadWyzNA",15900167,Milwaukee Bucks,220,885,"['GiannisAntetokounmpo', 'KiaAllStarMVP']"
2019-02-18 03:46:25,1097341541037813760,"OH MY 🔨🔨🔨

#GiannisAntetokounmpo | #KiaAllStarMVP https://t.co/6TtuOmCMO4",15900167,Milwaukee Bucks,205,482,"['GiannisAntetokounmpo', 'KiaAllStarMVP']"
2019-02-18 03:43:03,1097340691057963009,"We all know who the MVP is 👏

RT to vote #GiannisAntetokounmpo for #KiaAllStarMVP https://t.co/a6JLuPcXWD",15900167,Milwaukee Bucks,1156,993,"['GiannisAntetokounmpo', 'KiaAllStarMVP']"
2019-02-18 03:39:35,1097339820492369920,"#KhrisMiddleton ain't missing that 💦

#NBAAllStar https://t.co/nOBNL6ylvf",15900167,Milwaukee Bucks,65,503,"['KhrisMiddleton', 'NBAAllStar']"
2019-02-18 03:39:03,1097339688048869379,"The Captain returns after the break!!

#Giannis 

#KIAAllStarMVP https://t.co/a8ZLLEpPQU",15900167,Milwaukee Bucks,66,229,"['Giannis', 'KIAAllStarMVP']"
2019-02-18 03:32:32,1097338046582788096,At the break #Giannis presented #DirkNowitzki with a commemorative #NBAAllStar jersey!! https://t.co/2Y92S6WLzQ,15900167,Milwaukee Bucks,36,309,"['Giannis', 'DirkNowitzki', 'NBAAllStar']"
2019-02-18 03:23:37,1097335803079000064,RT to vote #GiannisAntetokounmpo for #KiaAllStarMVP 🙏 https://t.co/NBAIbVC5XB,15900167,Milwaukee Bucks,2706,1206,"['GiannisAntetokounmpo', 'KiaAllStarMVP']"
2019-02-18 03:13:03,1097333141650501632,"Hey KD, the #EliminationChamber is on a different channel!! 

#NBAAllStar https://t.co/J224TG7eye",15900167,Milwaukee Bucks,69,402,"['EliminationChamber', 'NBAAllStar']"
2019-02-18 03:12:49,1097333086659006464,#GiannisAntetokounmpo for #KiaAllStarMVP 👀 https://t.co/6ewoIqeITu,15900167,Milwaukee Bucks,173,412,"['GiannisAntetokounmpo', 'KiaAllStarMVP']"
2019-02-18 03:05:45,1097331305535209472,"But he can't shoot, right?

#Giannis | #NBAAllStar https://t.co/t5cOAgtPmI",15900167,Milwaukee Bucks,99,597,"['Giannis', 'NBAAllStar']"
2019-02-18 03:00:00,1097329858219266055,"Caption this 😂

📺: TNT https://t.co/2PPs0c1I0P",15900167,Milwaukee Bucks,9,120,"['Giannis', 'NBAAllStar']"
2019-02-18 02:56:02,1097328862252466178,"This is why he's called The Greek Freak 💥

#Giannis | #NBAAllStar https://t.co/FQAcDKuvlR",15900167,Milwaukee Bucks,124,570,"['Giannis', 'NBAAllStar']"
2019-02-18 02:49:02,1097327099143172096,"Support your brothers ❤️

#Giannis | #KhrisMiddleton https://t.co/Uyl0bcePM6",15900167,Milwaukee Bucks,85,638,"['Giannis', 'KhrisMiddleton']"
2019-02-18 02:42:49,1097325535129145347,"The #Giannis JAM as heard in Greek 🇬🇷😱

#NBAAllStar https://t.co/z1cHXWY4r8",15900167,Milwaukee Bucks,80,460,"['Giannis', 'NBAAllStar']"
2019-02-18 02:35:21,1097323657385394176,"#Giannis at the half:

20 PTS (10/12 FG) | 5 REB | 4 AST https://t.co/T8Z7dwh2On",15900167,Milwaukee Bucks,45,303,['Giannis']
2019-02-18 02:34:08,1097323349489930240,"#KhrisMiddleton at the half: 

17 PTS | 6/8 FG | 5/7 3PT https://t.co/sLo8aKZQjd",15900167,Milwaukee Bucks,49,424,['KhrisMiddleton']
2019-02-18 02:31:59,1097322810005962754,"nO oNe PlAyS dEfEnSe In ThE #NBAAllStar gAmE

#KhrisMiddleton https://t.co/pugPSFotxD",15900167,Milwaukee Bucks,94,694,"['NBAAllStar', 'KhrisMiddleton']"
2019-02-18 02:28:29,1097321926505172993,"At the half of the #NBAAllStar Game: 

#TeamGiannis: 95
#TeamLeBron: 82 https://t.co/avWzJJx5zS",15900167,Milwaukee Bucks,81,472,"['NBAAllStar', 'TeamGiannis', 'TeamLeBron']"
2019-02-18 02:21:05,1097320063483502593,"The best player in the league has the MOST FUN!!

#Giannis https://t.co/V6Pv9JVszy",15900167,Milwaukee Bucks,69,623,['Giannis']
2019-02-18 02:18:07,1097319317119619077,"The best player in the league has the MOST FUN!!

#Giannis https://t.co/ILy7YPFrGc",15900167,Milwaukee Bucks,281,1906,['Giannis']
2019-02-18 02:16:51,1097318999963119616,How the world reacted after that #Giannis JAM 😂 https://t.co/jPs2XyaOGb,15900167,Milwaukee Bucks,74,497,['Giannis']
2019-02-18 02:15:27,1097318646815301632,"How's the air up there?!?

#Giannis | #NBAAllStar https://t.co/F1Fb8ZBwrg",15900167,Milwaukee Bucks,139,799,"['Giannis', 'NBAAllStar']"
2019-02-18 02:11:21,1097317616153231360,"OH MY GOOOOOOOODNESS 😳

#Giannis | #NBAAllStar https://t.co/S5JSDYwvLc",15900167,Milwaukee Bucks,4071,14543,"['Giannis', 'NBAAllStar']"
2019-02-18 02:06:01,1097316273246093314,"#NBAAllStar MVP 🤔

#Giannis https://t.co/0KWYGLZ5vC",15900167,Milwaukee Bucks,108,537,"['NBAAllStar', 'Giannis']"
2019-02-18 02:01:21,1097315099973484545,"After one in the #NBAAllStar Game:

#TeamGiannis: 53
#TeamLeBron: 37 https://t.co/HIagLBvTip",15900167,Milwaukee Bucks,27,176,"['NBAAllStar', 'TeamGiannis', 'TeamLeBron']"
2019-02-18 01:59:12,1097314556462989313,"Is the bank open late, #KhrisMiddleton?!?

#NBAAllStar https://t.co/nb0LrvwFK3",15900167,Milwaukee Bucks,38,282,"['KhrisMiddleton', 'NBAAllStar']"
2019-02-18 01:54:59,1097313498739167232,"#KhrisMiddleton is HEATING UP 🔥

#NBAAllStar https://t.co/AiAbvm8GDE",15900167,Milwaukee Bucks,49,316,"['KhrisMiddleton', 'NBAAllStar']"
2019-02-18 01:53:23,1097313093825245186,"😃😃😃😃

#KhrisMiddleton | #NBAAllStar https://t.co/57SnrclIdV",15900167,Milwaukee Bucks,29,284,"['KhrisMiddleton', 'NBAAllStar']"
2019-02-18 01:49:09,1097312029046697987,#KhrisMiddleton makes his FIRST #NBAAllStar shot!! https://t.co/HCNau2CaFc,15900167,Milwaukee Bucks,62,513,"['KhrisMiddleton', 'NBAAllStar']"
