FULL_NAME,TWITTER_ACC,ACCOUNT_TYPE,USER_ID
ClutchFans,clutchfans,fan,29007125
CBS Sports NBA,CBSSportsNBA,fan,158426128
NBA UK Fans,NBA_UKfans,fan,471122783
The Drop NBA,thedropnba,fan,3306074331
FanSided NBA,FanSidedNBA,fan,601244317
The Step Back,The_Step_Back,fan,2440511442
Fastbreak Breakfast,fastbreakbreak,fan,2884161942
Cameron Tabatabaie,CTabatabaie,fan,2577730025
NBA on ESPN,ESPNNBA,fan,74518740
NBA on TNTVerified account,NBAonTNT,fan,22178780
LeBron James,KingJames,player,23083404
Chris Paul,CP3,player,53853197
Joel Embiid,JoelEmbiid,player,416814339
Kyrie Irving,KyrieIrving,player,317370751
Gordon Hayward,gordonhayward,player,46704247
James Harden,JHarden13,player,50811932
Kevin Durant,KDTrey5,player,35936474
Stephen Curry,StephenCurry30,player,42562446
Klay Thompson,KlayThompson,player,1703636814
Paul George,Yg_Trece,player,53643297
Russell Westbrook,russwest44,player,35982046
Dwyane Wade,DwyaneWade,player,612792060
Luka Doncic,luka7doncic,player,460116210
Jayson Tatum,jaytatum0,player,448562247
Jaylen Brown,FCHWPO,player,419181069
Kobe Bryant,kobebryant,player,1059194370
Giannis Antetokounmpo,Giannis_An34,player,2279776304
Derrick Rose,drose,player,33995409
Carmelo Anthony,carmeloanthony,player,42384760
Paul Pierce,paulpierce34,player,27115071
Atlanta Hawks,ATLHawks,team,17292143
Boston Celtics,celtics,team,18139461
Brooklyn Nets,BrooklynNets,team,18552281
Charlotte Hornets,hornets,team,21308488
Chicago Bulls,chicagobulls,team,16212685
Cleveland Cavaliers,cavs,team,19263978
Dallas Mavericks,dallasmavs,team,22185437
Denver Nuggets,nuggets,team,26074296
Detroit Pistons,DetroitPistons,team,16727749
Golden State Warriors,warriors,team,26270913
Houston Rockets,HoustonRockets,team,19077044
Indiana Pacers,Pacers,team,19409270
Los Angeles Clippers,LAClippers,team,19564719
Los Angeles Lakers,Lakers,team,20346956
Memphis Grizzlies,memgrizz,team,7117962
Miami Heat,MiamiHEAT,team,11026952
Milwaukee Bucks,Bucks,team,15900167
New Orleans Pelicans,PelicansNBA,team,24903350
New York Knicks,nyknicks,team,20265254
Oklahoma City Thunder,okcthunder,team,24925573
Orlando Magic,OrlandoMagic,team,19537303
Philadelphia 76ers,sixers,team,16201775
Phoenix Suns,Suns,team,18481113
Portland Trail Blazers,trailblazers,team,6395222
Sacramento Kings,SacramentoKings,team,667563
San Antonio Spurs,spurs,team,18371803
Timberwolves,Timberwolves,team,20196159
Toronto Raptors,Raptors,team,73406718
Utah Jazz,utahjazz,team,18360370
Washington Wizards,WashWizards,team,14992591
