model_id,nfolds,fold_assignment,fold_column,score_each_iteration,weights_column,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,pretrained_autoencoder,standardize,activation,epochs,train_samples_per_iteration,seed,rho,epsilon,rate,rate_annealing,rate_decay,momentum_start,momentum_ramp,l1,l2,max_w2,initial_weight_distribution,initial_weight_scale,initial_biases,loss,quantile_alpha,tweedie_power,score_interval,huber_alpha,score_training_samples,score_validation_samples,score_duty_cycle,stopping_rounds,stopping_metric,stopping_tolerance,max_runtime_secs,score_validation_sampling,diagnostics,fast_mode,force_load_balance,variable_importances,single_node_mode,quiet_mode,autoencoder,sparse,col_major,average_activation,sparsity_beta,reproducible,export_weights_and_biases,mini_batch_size,categorical_encoding,elastic_averaging,elastic_averaging_moving_rate,elastic_averaging_regularization
DeepLearning_1_AutoML_20190415_212612,5,Modulo,null,false,null,5.0,20,0,null,true,Rectifier,10.405704558705725,-2,1048666160111208200,0.99,1e-08,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_1_AutoML_20190416_102359,5,Modulo,null,false,null,5.0,20,0,null,true,Rectifier,10.397793001965905,-2,-7615084943679764051,0.99,1e-08,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_102359_model_1,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,0.5177583961594505,-2,-1497295392493586354,0.95,1e-06,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_102359_model_2,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,0.548790104969742,-2,-428523953997691427,0.95,1e-07,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_102359_model_3,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,9.388331199557241,-2,7369419992095606222,0.95,1e-07,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_1_AutoML_20190416_112303,5,Modulo,null,false,null,5.0,20,0,null,true,Rectifier,10.401621632144538,-2,-2923272195081755950,0.99,1e-08,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_112303_model_1,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,41.559104553935875,-2,9211647225475308923,0.95,1e-08,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_112303_model_2,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,1.5937861434213962,-2,-3920436634791015945,0.99,1e-08,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_112303_model_3,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,2.395306083504629,-2,6981278339326842981,0.95,1e-09,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
DeepLearning_grid_1_AutoML_20190416_112303_model_4,5,Modulo,null,false,null,5.0,20,0,null,true,RectifierWithDropout,28.108171814427273,-2,4076022894468756973,0.99,1e-06,0.005,1e-06,1.0,0.0,1000000.0,0.0,0.0,3.4028235e+38,"""UniformAdaptive""",1.0,null,Automatic,0.5,1.5,5.0,0.9,10000,0,0.1,0,deviance,0.006802091556591675,0.0,Uniform,true,true,true,true,false,false,false,false,false,0.0,0.0,false,false,1,AUTO,false,0.9,0.001
