model_id,data_id,model_cat
DRF_1_AutoML_20190416_102359,1,Distributed Random Forest
DRF_1_AutoML_20190416_112303,1,Distributed Random Forest
DRF_1_AutoML_20190415_205714,1,Distributed Random Forest
DRF_1_AutoML_20190415_212612,1,Distributed Random Forest
DRF_1_AutoML_20190415_211555,1,Distributed Random Forest
DeepLearning_1_AutoML_20190415_212612,1,Deep Learning
DeepLearning_1_AutoML_20190416_102359,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_102359_model_1,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_102359_model_2,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_102359_model_3,1,Deep Learning
DeepLearning_1_AutoML_20190416_112303,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_112303_model_1,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_112303_model_2,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_112303_model_3,1,Deep Learning
DeepLearning_grid_1_AutoML_20190416_112303_model_4,1,Deep Learning
GLM_grid_1_AutoML_20190416_112303_model_1,1,Generalized Linear Model
StackedEnsemble_AllModels_AutoML_20190416_102359,1,Stacked Ensemble
StackedEnsemble_BestOfFamily_AutoML_20190416_102359,1,Stacked Ensemble
StackedEnsemble_AllModels_AutoML_20190416_112303,1,Stacked Ensemble
StackedEnsemble_BestOfFamily_AutoML_20190416_112303,1,Stacked Ensemble
XRT_1_AutoML_20190415_212612,1,Extremely Randomized Trees
XRT_1_AutoML_20190416_102359,1,Extremely Randomized Trees
XRT_1_AutoML_20190416_112303,1,Extremely Randomized Trees
GBM_grid_1_AutoML_20190418_165439_model_1,1,Gradient Boosting Machine
GBM_grid_1_AutoML_20190418_172432_model_2,1,Gradient Boosting Machine
GBM_grid_1_AutoML_20190418_165439_model_2,1,Gradient Boosting Machine
GBM_grid_1_AutoML_20190418_163635_model_1,1,Gradient Boosting Machine
GBM_grid_1_AutoML_20190418_172432_model_4,1,Gradient Boosting Machine
GBM_1_AutoML_20190418_163635,1,Gradient Boosting Machine
GBM_1_AutoML_20190418_181012,1,Gradient Boosting Machine
GBM_3_AutoML_20190418_163635,1,Gradient Boosting Machine
GBM_3_AutoML_20190418_165439,1,Gradient Boosting Machine
GBM_1_AutoML_20190418_165439,1,Gradient Boosting Machine
